ROWID	_Activate|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_Category|INTEGER	_RewardPoint|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN
1	1	1000110470	2,4	0	250	3	45	0	0	2	2	4	2	4	5	0	0	0	0	0	0	false
2	1	1000149161	2,4	0	250	3	3	19011	0	2	2	4	2	4	5	0	0	0	0	0	0	false
3	1	1000149162	2,4	0	250	3	3	19004	0	2	2	4	2	4	5	0	0	0	0	0	0	false
4	1	1000149163	2,4	0	250	3	3	19006	0	2	2	4	2	4	5	0	0	0	0	0	0	false
5	1	1000149164	2,4	0	250	3	3	19002	0	2	2	4	2	4	5	0	0	0	0	0	0	false
6	1	1000149165	2,4	0	250	3	3	19021	0	2	2	4	2	4	5	0	0	0	0	0	0	false
7	1	1000149166	2,4	0	250	3	3	19012	0	2	2	4	2	4	5	0	0	0	0	0	0	false
8	1	1000149167	2,4	0	250	3	3	19015	0	2	2	4	2	4	5	0	0	0	0	0	0	false
9	1	1000149168	2,4	0	250	3	3	19024	0	2	2	4	2	4	5	0	0	0	0	0	0	false
10	1	1000149169	2,4	0	250	3	3	19018	0	2	2	4	2	4	5	0	0	0	0	0	0	false
11	1	1000149170	2,4	0	250	3	3	19019	0	2	2	4	2	4	5	0	0	0	0	0	0	false
12	1	1000149171	2,4	0	250	3	3	19008	0	2	2	4	2	4	5	0	0	0	0	0	0	false
13	1	1000166388	2,4	0	250	3	3	19680	0	2	2	4	2	4	5	0	0	0	0	0	0	false
14	1	1000173082	2,4	0	700	3	3	19691	0	2	2	4	2	4	5	0	0	0	0	0	0	false
15	1	1000175924	2,4	0	700	3	3	19696	0	2	2	4	2	4	5	0	0	0	0	0	0	false
16	1	1000178198	2,4	0	700	3	3	19698	0	2	2	4	2	4	5	0	0	0	0	0	0	false
17	1	1000149172		0	400	3	71	7	0	0	0	0	0	0	0	0	0	0	0	0	0	false
18	1	1000157159	2,4	0	400	3	3	19631	0	2	2	4	2	4	5	0	0	0	0	0	0	false
19	1	1000179057	4	0	400	3	3	19636	0	2	4	0	0	0	0	0	0	0	0	0	0	false
20	1	1000110471	5,8	0	1500	3	45	1	0	2	5	4	2	8	5	0	0	0	0	0	0	false
21	1	1000121903	4	1	50	3	45	0	0	2	4	0	0	0	0	0	0	0	0	0	0	false
22	1	1000157158	4	1	50	3	45	1	0	2	4	0	0	0	0	0	0	0	0	0	0	false
