ROWID	_PCLevelStart|INTEGER	_PCLevelEnd|INTEGER	_ClassID|INTEGER	_Job|INTEGER	_ItemID|INTEGER	_Grade|INTEGER	_ItemOption|INTEGER	_Type|INTEGER
400000	24	31	1	0	268463715	3	20010	0
400001	24	31	1	0	268463716	3	20010	0
400002	24	31	1	0	268463718	3	20010	0
400003	24	31	1	0	268463713	3	20010	0
400004	32	39	1	0	268463744	3	20010	0
400005	32	39	1	0	268463745	3	20010	0
400006	32	39	1	0	268463747	3	20010	0
400007	32	39	1	0	268463742	3	20010	0
400008	40	49	1	0	268463773	3	20010	0
400009	40	49	1	0	268463774	3	20010	0
400010	40	49	1	0	268463776	3	20010	0
400011	40	49	1	0	268463771	3	20010	0
400012	50	59	1	0	268463802	3	20010	0
400013	50	59	1	0	268463803	3	20010	0
400014	50	59	1	0	268463805	3	20010	0
400015	50	59	1	0	268463800	3	20010	0
400016	60	69	1	0	268463831	3	20010	0
400017	60	69	1	0	268463832	3	20010	0
400018	60	69	1	0	268463834	3	20010	0
400019	60	69	1	0	268463829	3	20010	0
400020	70	79	1	0	268463860	3	20010	0
400021	70	79	1	0	268463861	3	20010	0
400022	70	79	1	0	268463863	3	20010	0
400023	70	79	1	0	268463858	3	20010	0
400024	80	89	1	0	268463889	3	20010	0
400025	80	89	1	0	268463890	3	20010	0
400026	80	89	1	0	268463892	3	20010	0
400027	80	89	1	0	268463887	3	20010	0
400028	90	92	1	0	268466417	3	20010	0
400029	90	92	1	0	268466418	3	20010	0
400030	90	92	1	0	268466420	3	20010	0
400031	90	92	1	0	268466415	3	20010	0
400032	93	95	1	0	268469461	3	20010	0
400033	93	95	1	0	268469462	3	20010	0
400034	93	95	1	0	268469464	3	20010	0
400035	93	95	1	0	268469459	3	20010	0
401000	24	31	2	0	268463717	3	20010	0
401001	24	31	2	0	268463721	3	20010	0
401002	24	31	2	0	268463734	3	20010	0
401003	24	31	2	0	268463739	3	20010	0
401004	32	39	2	0	268463746	3	20010	0
401005	32	39	2	0	268463750	3	20010	0
401006	32	39	2	0	268463763	3	20010	0
401007	32	39	2	0	268463768	3	20010	0
401008	40	49	2	0	268463775	3	20010	0
