ROWID	_Type|INTEGER	_PCParam1|INTEGER	_PCParam2|INTEGER	_GoldPCParam1|INTEGER	_GoldPCParam2|INTEGER	_SilverPCParam1|INTEGER	_SilverPCParam2|INTEGER	_RedPCParam1|INTEGER	_RedPCParam2|INTEGER	_PremiumPCParam1|INTEGER	_PremiumPCParam2|INTEGER
9009	11	600050	0	600051	0	600052	0	600053	0	600054	0
1	0	0	0	0	0	100	0	50	0	0	0
2	2	0	0	0	0	1500	0	1500	0	0	0
3	3	0	0	0	0	10	0	5	0	0	0
4	6	0	0	0	0	1	0	1	0	0	0
5	10	0	0	0	0	1	0	1	0	0	0
6	11	600050	0	600051	0	600052	0	600053	0	600054	0
12	7	600005	0	600002	0	600003	0	600004	0	600010	0
13	8	600009	0	600006	0	600007	0	600008	0	600011	0
101	1	2182	0	0	0	2182	0	2182	0	0	0
