ROWID	_CheckLevel|INTEGER	_ItemID|INTEGER	_NormalItemCount|INTEGER	_MagicItemCount|INTEGER	_RareItemCount|INTEGER	_EpicItemCount|INTEGER	_UniqueItemCount|INTEGER	_LegendItemCount|INTEGER	_NamedItemCount|INTEGER	_AncientItemCount|INTEGER
61	1	1073857379	10	20	30	40	0	0	0	0
62	2	1073857379	11	22	32	42	0	0	0	0
63	3	1073857379	12	24	34	44	0	0	0	0
64	4	1073857379	13	26	36	46	0	0	0	0
65	5	1073857379	14	28	38	48	0	0	0	0
66	6	1073857379	15	30	40	50	0	0	0	0
67	7	1073857379	16	32	42	52	0	0	0	0
68	8	1073857379	17	34	44	54	0	0	0	0
69	9	1073857379	18	36	46	56	0	0	0	0
70	10	1073857379	19	38	48	58	0	0	0	0
71	11	1073857379	20	40	50	60	0	0	0	0
72	12	1073857379	21	42	52	62	0	0	0	0
73	13	1073857379	22	44	54	64	0	0	0	0
74	14	1073857379	23	46	56	66	0	0	0	0
75	15	1073857379	24	48	58	68	0	0	0	0
76	16	1073857379	25	50	60	70	0	0	0	0
77	17	1073857379	26	52	62	72	0	0	0	0
78	18	1073857379	27	54	64	74	0	0	0	0
79	19	1073857379	28	56	66	76	0	0	0	0
80	20	1073857379	29	58	68	78	0	0	0	0
81	21	1073857379	0	0	0	80	0	0	0	0
82	22	1073857379	0	0	0	82	0	0	0	0
83	23	1073857379	0	0	0	84	0	0	0	0
84	24	1073857379	0	0	0	86	0	0	0	0
85	25	1073857379	0	0	0	88	0	0	0	0
86	26	1073857379	0	0	0	90	0	0	0	0
87	27	1073857379	0	0	0	92	0	0	0	0
88	28	1073857379	0	0	0	94	0	0	0	0
89	29	1073857379	0	0	0	96	0	0	0	0
90	30	1073857379	0	0	0	98	0	0	0	0
91	31	1073857379	0	0	0	100	0	0	0	0
92	32	1073857379	0	0	0	102	0	0	0	0
93	33	1073857379	0	0	0	104	0	0	0	0
94	34	1073857379	0	0	0	106	0	0	0	0
95	35	1073857379	0	0	0	108	0	0	0	0
96	36	1073857379	0	0	0	110	0	0	0	0
97	37	1073857379	0	0	0	112	0	0	0	0
98	38	1073857379	0	0	0	114	0	0	0	0
99	39	1073857379	0	0	0	116	0	0	0	0
100	40	1073857379	0	0	0	118	0	0	0	0
101	41	1073857379	0	0	0	120	0	0	0	0
102	42	1073857379	0	0	0	122	0	0	0	0
103	43	1073857379	0	0	0	124	0	0	0	0
104	44	1073857379	0	0	0	126	0	0	0	0
105	45	1073857379	0	0	0	128	0	0	0	0
106	46	1073857379	0	0	0	130	0	0	0	0
107	47	1073857379	0	0	0	132	0	0	0	0
108	48	1073857379	0	0	0	134	0	0	0	0
109	49	1073857379	0	0	0	136	0	0	0	0
110	50	1073857379	0	0	0	138	0	0	0	0
111	51	1073857379	0	0	0	140	0	0	0	0
112	52	1073857379	0	0	0	142	0	0	0	0
113	53	1073857379	0	0	0	144	0	0	0	0
114	54	1073857379	0	0	0	146	0	0	0	0
115	55	1073857379	0	0	0	148	0	0	0	0
116	56	1073857379	0	0	0	150	0	0	0	0
117	57	1073857379	0	0	0	152	0	0	0	0
118	58	1073857379	0	0	0	154	0	0	0	0
119	59	1073857379	0	0	0	156	0	0	0	0
120	60	1073900696	0	0	0	1	0	0	0	0
121	61	536881058	0	0	0	0	0	1	0	0
