ROWID	_PetLevelTypeID|INTEGER	_PetLevel|INTEGER	_PetExp|INTEGER	_State1|INTEGER	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_Min|TEXT	_State10_Max|TEXT	_VipExp|INTEGER
1	0	1	10000	3	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
2	0	2	26875	3	2	2	1	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
3	0	3	43750	3	2	2	1	2	2	2	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
4	0	4	77500	3	2	2	1	2	2	2	2	2	0	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
5	0	5	111250	3	2	2	1	2	2	2	2	2	0	2	2	25	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
6	0	6	161875	3	2	2	1	2	2	2	2	2	0	2	2	25	50	50	-1	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
7	0	7	212500	3	4	4	1	2	2	2	2	2	0	2	2	25	50	50	-1	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
8	0	8	263125	3	4	4	1	4	4	2	2	2	0	2	2	25	50	50	-1	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
9	0	9	313750	3	4	4	1	4	4	2	4	4	0	2	2	25	50	50	-1	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
10	0	10	471080	3	4	4	1	4	4	2	4	4	0	4	4	25	50	50	-1	50	50	4	4	4	5	4	4	6	4	4	7	4	4	0
11	0	11	656717	3	4	4	1	4	4	2	4	4	0	4	4	25	100	100	-1	100	100	4	4	4	5	4	4	6	4	4	7	4	4	0
12	0	12	854154	3	8	8	1	8	8	2	8	8	0	8	8	25	100	100	-1	100	100	4	8	8	5	8	8	6	8	8	7	8	8	0
13	0	13	1051591	3	10	10	1	10	10	2	10	10	0	10	10	25	100	100	-1	100	100	4	8	8	5	8	8	6	8	8	7	8	8	0
14	0	14	1269028	3	10	10	1	10	10	2	10	10	0	10	10	25	150	150	-1	150	150	4	12	12	5	12	12	6	12	12	7	12	12	0
15	0	15	1505028	3	12	12	1	12	12	2	12	12	0	12	12	25	150	150	-1	150	150	4	12	12	5	12	12	6	12	12	7	12	12	0
16	0	16	1741028	3	14	14	1	14	14	2	14	14	0	14	14	25	150	150	-1	150	150	4	16	16	5	16	16	6	16	16	7	16	16	0
17	0	17	1977028	3	16	16	1	16	16	2	16	16	0	16	16	25	150	150	-1	150	150	4	16	16	5	16	16	6	16	16	7	16	16	0
18	0	18	2234465	3	16	16	1	16	16	2	16	16	0	16	16	25	150	150	-1	150	150	4	18	18	5	18	18	6	18	18	7	18	18	0
19	0	19	2491902	3	18	18	1	18	18	2	18	18	0	18	18	25	200	200	-1	150	150	4	20	20	5	20	20	6	20	20	7	20	20	0
20	0	20	0	3	20	20	1	20	20	2	20	20	0	20	20	25	200	200	-1	200	200	4	20	20	5	20	20	6	20	20	7	20	20	0
