ROWID	_Strength|INTEGER	_Agility|INTEGER	_Intelligence|INTEGER	_Stamina|INTEGER	_Experience|INTEGER	_SuperAmmor|INTEGER	_SkillPoint|INTEGER	_Fatigue|INTEGER	_DeadDurabilityRatio|FLOAT	_KillScore|INTEGER	_Assistscore|INTEGER	_Assistdecision|INTEGER	_Aggroper|FLOAT	_WeekFatigue|INTEGER	_SKillUsageRatio|DOUBLE	_IllegalAmount|INTEGER	_BanAmount|INTEGER	_AggroperPvE|FLOAT	_VIPFatigue|INTEGER	_VIPExp|INTEGER	_LevelDExp|INTEGER	_BaseMP|INTEGER	_Critical|DOUBLE
1	18	11	7	14	0	100	0	1500	0.04	100	50	33	1.0	3000	0.00525	137172	2126166	1.33	150	10	50000	50000	38.5
2	20	13	9	16	10000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	155333	2407658	1.33	150	10	50000	50000	45.5
3	23	15	10	18	20000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	197528	3061679	1.33	150	10	50000	50000	52.5
4	26	16	11	21	30000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	223679	3467028	1.33	150	10	50000	50000	56.0
5	29	18	12	23	40000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	284440	4408818	1.33	150	10	112500	50000	63.0
6	32	20	13	25	50000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	274024	4247368	1.33	150	10	112500	50000	70.0
7	34	22	15	27	60000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	309599	4798781	1.33	150	10	112500	50000	77.0
8	37	23	16	30	70000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	491512	7618437	1.33	150	10	112500	50000	80.5
9	40	25	17	32	80000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	589814	9142125	1.33	150	10	168750	50000	87.5
10	43	27	18	34	90000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	707777	10970550	1.33	150	10	168750	50000	94.5
11	46	29	19	36	100000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	801483	12422989	1.33	150	10	168750	50000	101.5
12	48	30	21	39	110000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1019199	15797591	1.33	150	10	168750	50000	105.0
13	51	32	22	41	120000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1154136	17889103	1.33	150	10	168750	50000	112.0
14	54	34	23	43	130000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1446976	22428130	1.33	150	10	168750	50000	119.0
15	57	36	24	45	140000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1592707	24686963	1.33	150	10	168750	50000	126.0
16	60	38	26	48	150000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1810564	28063745	1.33	150	10	506250	50000	133.0
17	64	40	27	51	160000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	1901456	29472569	1.33	150	10	506250	50000	140.0
18	67	42	29	54	170000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2010204	31158167	1.33	150	10	506250	50000	147.0
19	71	44	30	57	180000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2053373	31827282	1.33	150	10	506250	50000	154.0
20	74	47	32	59	190000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2102770	32592941	1.33	150	10	506250	50000	164.5
21	78	49	33	62	200000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2121950	32890229	1.33	150	10	506250	50000	171.5
22	81	51	35	65	210000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2239133	34706555	1.33	150	10	506250	50000	178.5
23	85	53	36	68	220000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2464645	38202001	1.33	150	10	506250	50000	185.5
24	88	55	38	71	230000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2801769	43427425	1.33	150	10	1012500	50000	192.5
25	93	59	40	75	240000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	2942421	45607518	1.33	150	10	1012500	50000	206.5
26	99	62	42	79	250000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3110704	48215907	1.33	150	10	1012500	50000	217.0
27	104	65	45	83	260000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3177505	49251333	1.33	150	10	1012500	50000	227.5
28	109	69	47	87	270000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3253946	50436158	1.33	150	10	1012500	50000	241.5
29	114	72	49	92	280000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3283626	50896198	1.33	150	10	1012500	50000	252.0
30	120	75	51	96	290000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3464960	53706883	1.33	150	10	1012500	50000	262.5
31	124	79	54	100	300000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3813931	59115934	1.33	150	10	1012500	50000	276.5
32	130	82	56	104	310000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4384056	67952864	1.33	150	10	1316250	50000	287.0
33	137	86	59	110	320000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4487379	69554377	1.33	150	10	1316250	50000	301.0
34	144	91	62	115	330000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4618666	71589320	1.33	150	10	1316250	50000	318.5
35	151	95	65	121	340000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4664991	72307367	1.33	150	10	1316250	50000	332.5
36	158	99	68	127	350000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4728193	73286992	1.33	150	10	1316250	50000	346.5
37	165	104	71	132	360000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4758951	73763738	1.33	150	10	1316250	50000	364.0
38	172	108	74	138	370000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	4931711	76441515	1.33	150	10	1316250	50000	378.0
39	179	113	77	143	380000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	5167031	80088978	1.33	150	10	1316250	50000	395.5
40	186	117	80	149	390000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	5457676	84593983	1.33	150	10	1711125	50000	409.5
41	198	124	84	158	400000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3623622	56166146	1.33	150	10	1711125	50000	434.0
42	210	131	88	167	410000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3664703	56802904	1.33	150	10	1711125	50000	458.5
43	222	137	92	177	420000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3692041	57226633	1.33	150	10	1711125	50000	479.5
44	234	144	96	186	430000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3710085	57506311	1.33	150	10	1711125	50000	504.0
45	248	152	101	196	440000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3728235	57787645	1.33	150	10	1711125	50000	532.0
46	262	160	105	207	450000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3746567	58071793	1.33	150	10	1711125	50000	560.0
47	275	168	110	218	460000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3765083	58358781	1.33	150	10	1711125	50000	588.0
48	289	176	115	228	470000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3783783	58648640	1.33	150	10	1711125	50000	616.0
49	305	185	120	240	480000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3802671	58941397	1.33	150	10	1711125	50000	647.5
50	320	194	126	252	490000	100	3	1500	0.04	100	50	33	1.0	3000	0.00525	3821747	59237082	1.33	150	10	2138906	50000	679.0
51	338	205	133	266	500000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3841014	59535724	1.33	150	10	2138906	50000	717.5
52	355	216	141	280	510000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3860474	59837352	1.33	150	10	2138906	50000	756.0
53	374	228	149	296	520000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3880129	60141997	1.33	150	10	2138906	50000	798.0
54	394	240	157	311	530000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3899980	60449687	1.33	150	10	2138906	50000	840.0
55	413	252	166	326	540000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3920029	60760455	1.33	150	10	2138906	50000	882.0
56	432	264	174	342	550000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3940279	61074331	1.33	150	10	2138906	50000	924.0
