ROWID	_Character1|DOUBLE	_Character2|DOUBLE	_Character3|DOUBLE	_Character4|DOUBLE	_Character5|DOUBLE	_Character6|DOUBLE	_Character7|DOUBLE	_Character8|DOUBLE	_Character9|DOUBLE	_Character10|DOUBLE
1	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	0.0
2	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	0.0
3	0.13125	0.13125	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.109375	0.0
4	0.5	0.25	0.1875	0.5	0.25	0.5	0.37	0.5	0.25	0.0
5	0.25	0.5	0.3125	0.25	0.5	0.25	0.38	0.25	0.5	0.0
6	0.5	0.5	0.75	0.5	0.5	0.5	0.375	0.5	0.5	0.0
7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.0
8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0
9	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	0.0
10	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	0.0
11	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0
12	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0
13	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	0.0
14	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	0.0
15	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	0.0
16	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0
17	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
20	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0
21	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.0
22	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	0.0
23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
24	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0
25	0.00525	0.0063	0.01225	0.00875	0.01085	0.0105	0.007	0.00525	0.00525	0.0
26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
27	1.75	1.75	1.75	1.75	1.75	1.75	1.75	1.75	1.75	0.0
