ROWID	_ID|INTEGER	_IconImageIndex|INTEGER	_NameID|INTEGER	_DescriptionID|INTEGER	_DescriptionIDParam|TEXT	_UiGroupID|INTEGER	_UiPrintIndex|INTEGER	_PointCombine|BOOLEAN	_MaxPoint|INTEGER
1	0	1	126176	1000127745		1000112974	140	false	20000
2	0	9	1000112978	1000137700		1000112976	0	true	9999999
3	0	10	1000112979	1000136849		1000112976	0	true	0
4	0	11	1000113973	1000114272		1000112976	0	true	0
8	0	0	1000150073	1000164656		1000150069	0	true	20000000
10	0	7	1000112982	1000114274		1000112974	0	false	9999999
12	0	4	120342	1000150086		1000136860	0	true	9999999
13	0	22	1000150074	1000164657		1000150069	0	true	9999999
14	0	3	1000150075	1000164658		1000150069	0	true	9999999
15	0	8	1000112987	1000121648		1000112974	160	false	9999999
16	0	2	1000112988	1000150087		1000136860	0	true	9999999
5	0	5	126084	1000120789		1000112977	0	false	9999999
17	0	5	1000112989	1000121650		1000112977	10000	false	9999999
28	0	30	1000114588	6365		1000112977	0	false	10000
29	0	23	1000117599	1000142917		1000112976	0	true	9999999
30	0	24	1000150077	1000136857		1000150069	20	true	9999999
31	0	25	1000150088	1000136858		1000150069	90	true	100000
32	0	27	1000150078	1000156938		1000150069	10	true	1000000
33	0	28	1000150079	1000137363		1000150069	30	true	9999999
34	0	30	234	1000149464		1000112977	210	false	50000
35	0	29	1000136839	1000164655		1000150069	95	false	9999999
18	0	26	1000121563	1000121564		1000112977	0	false	9999999
19	0	13	1000116561	1000116563		1000112977	0	false	9999999
20	0	14	1000112992	1000113000	{1000112992}	1000112977	0	false	9999999
21	0	15	1000112993	1000113000	{1000112993}	1000112977	0	false	9999999
22	0	16	1000124670	1000124665	{1000124664}	1000112977	0	false	9999999
23	0	17	1000125365	1000125959	{1000125365}	1000112977	0	false	9999999
24	0	18	1000112996	1000113000	{1000112996}	1000112977	0	false	9999999
25	0	19	1000112997	1000113000	{1000112997}	1000112977	0	false	9999999
26	0	20	1000112998	1000113000	{1000112998}	1000112977	0	false	9999999
27	0	21	1000112999	1000113000	{1000112999}	1000112977	0	false	9999999
