ROWID	_PotentialID|INTEGER	_PotentialNo|INTEGER	_PotentialRatio|FLOAT	_PrefixNameID|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_State11|INTEGER	_State11Value|TEXT	_State12|INTEGER	_State12Value|TEXT	_State13|INTEGER	_State13Value|TEXT	_State14|INTEGER	_State14Value|TEXT	_State15|INTEGER	_State15Value|TEXT	_State16|INTEGER	_State16Value|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_GearScore|INTEGER
905969665	905969865	1	1.0	0	4	100	5	100	6	100	7	100	-1	0	12	440	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969666	905969866	1	1.0	0	4	200	5	200	6	200	7	200	-1	0	12	880	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969667	905969867	1	1.0	0	4	300	5	300	6	300	7	300	-1	0	12	1320	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969668	905969868	1	1.0	0	4	400	5	400	6	400	7	400	-1	0	12	1760	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969669	905969869	1	1.0	0	4	500	5	500	6	500	7	500	-1	0	12	2200	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969670	905969870	1	1.0	0	4	600	5	600	6	600	7	600	-1	0	12	2640	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969671	905969871	1	1.0	0	4	700	5	700	6	700	7	700	-1	0	12	3080	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969672	905969872	1	1.0	0	4	800	5	800	6	800	7	800	-1	0	12	3520	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969673	905969873	1	1.0	0	4	900	5	900	6	900	7	900	-1	0	12	3960	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969674	905969874	1	1.0	0	4	1000	5	1000	6	1000	7	1000	-1	0	12	4400	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969675	905969875	1	1.0	0	4	1100	5	1100	6	1100	7	1100	-1	0	12	4840	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969676	905969876	1	1.0	0	4	1200	5	1200	6	1200	7	1200	-1	0	12	5280	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969677	905969877	1	1.0	0	4	1300	5	1300	6	1300	7	1300	-1	0	12	5720	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969678	905969878	1	1.0	0	4	1400	5	1400	6	1400	7	1400	-1	0	12	6160	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969679	905969879	1	1.0	0	4	1500	5	1500	6	1500	7	1500	-1	0	12	6600	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969680	905969880	1	1.0	0	4	1600	5	1600	6	1600	7	1600	-1	0	12	7040	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969681	905969881	1	1.0	0	4	1700	5	1700	6	1700	7	1700	-1	0	12	7480	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969682	905969882	1	1.0	0	4	1800	5	1800	6	1800	7	1800	-1	0	12	7920	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969683	905969883	1	1.0	0	4	1900	5	1900	6	1900	7	1900	-1	0	12	8360	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
905969684	905969884	1	1.0	0	4	2000	5	2000	6	2000	7	2000	-1	0	12	8800	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
