ROWID	_PotentialID|INTEGER	_PotentialNo|INTEGER	_PotentialRatio|FLOAT	_PrefixNameID|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_State11|INTEGER	_State11Value|TEXT	_State12|INTEGER	_State12Value|TEXT	_State13|INTEGER	_State13Value|TEXT	_State14|INTEGER	_State14Value|TEXT	_State15|INTEGER	_State15Value|TEXT	_State16|INTEGER	_State16Value|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_GearScore|INTEGER
569151	692076544	2	18.82	0	54	0.0575	55	0.0575	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569152	692076544	2	18.82	0	56	0.0575	57	0.0575	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569153	692076544	2	14.12	0	50	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569154	692076544	2	14.12	0	51	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569155	692076544	2	14.12	0	52	0.035	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569156	692076544	2	2.26	0	54	0.0575	55	0.0575	50	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569157	692076544	2	2.26	0	56	0.0575	57	0.0575	50	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569158	692076544	2	2.26	0	54	0.0575	55	0.0575	51	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569159	692076544	2	2.26	0	56	0.0575	57	0.0575	51	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569160	692076544	2	3.23	0	54	0.0575	55	0.0575	50	0.0225	52	0.0175	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569161	692076544	2	3.23	0	56	0.0575	57	0.0575	50	0.0225	52	0.0175	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569162	692076544	2	2.26	0	54	0.0575	55	0.0575	52	0.035	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
569163	692076544	2	2.26	0	56	0.0575	57	0.0575	52	0.035	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
567651	687882240	2	12.31	0	75	0.065	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
570651	696270848	2	12.31	0	75	0.065	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
567652	687882240	2	12.31	0	107	0.065	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
570652	696270848	2	12.31	0	107	0.065	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
567653	687882240	2	18.46	0	50	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
570653	696270848	2	18.46	0	50	0.045	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0		0		0		0		0		0		0	0	0	0
