ROWID	_FromLevel|INTEGER	_FromGrade|INTEGER	_ToLevel|INTEGER	_ToGrade|INTEGER	_Count|INTEGER	_MainType|INTEGER	_SubType|INTEGER
1	24	3	24	3	5	1	2
2	24	3	32	3	11	1	2
3	32	3	32	3	8	1	2
4	32	3	40	3	17	1	2
5	40	3	40	3	15	1	2
6	40	3	50	3	68	1	2
7	50	3	50	3	45	1	2
8	50	3	60	3	75	1	2
9	60	3	60	3	53	1	2
100	40	4	40	4	45	1	2
101	40	4	50	4	117	1	2
102	50	4	50	4	72	1	2
103	50	4	60	4	120	1	2
104	60	4	60	4	84	1	2
200	40	5	40	5	45	1	2
201	40	5	50	5	166	1	2
202	50	5	50	5	108	1	2
203	50	5	60	5	180	1	2
204	60	5	60	5	126	1	2
300	24	3	24	3	5	1	3
301	24	3	32	3	11	1	3
302	32	3	32	3	8	1	3
303	32	3	40	3	17	1	3
304	40	3	40	3	15	1	3
305	40	3	50	3	68	1	3
306	50	3	50	3	45	1	3
307	50	3	60	3	75	1	3
308	60	3	60	3	53	1	3
400	40	4	40	4	45	1	3
401	40	4	50	4	117	1	3
402	50	4	50	4	72	1	3
403	50	4	60	4	120	1	3
404	60	4	60	4	84	1	3
500	40	5	40	5	45	1	3
501	40	5	50	5	166	1	3
502	50	5	50	5	108	1	3
503	50	5	60	5	180	1	3
504	60	5	60	5	126	1	3
600	24	3	24	3	5	1	4
601	24	3	32	3	11	1	4
602	32	3	32	3	8	1	4
603	32	3	40	3	17	1	4
604	40	3	40	3	15	1	4
605	40	3	50	3	68	1	4
606	50	3	50	3	45	1	4
607	50	3	60	3	75	1	4
608	60	3	60	3	53	1	4
700	40	4	40	4	45	1	4
701	40	4	50	4	117	1	4
702	50	4	50	4	72	1	4
703	50	4	60	4	120	1	4
704	60	4	60	4	84	1	4
800	40	5	40	5	45	1	4
801	40	5	50	5	166	1	4
802	50	5	50	5	108	1	4
803	50	5	60	5	180	1	4
804	60	5	60	5	126	1	4
900	24	3	24	3	5	1	5
901	24	3	32	3	11	1	5
902	32	3	32	3	8	1	5
903	32	3	40	3	17	1	5
904	40	3	40	3	15	1	5
905	40	3	50	3	68	1	5
906	50	3	50	3	45	1	5
907	50	3	60	3	75	1	5
908	60	3	60	3	53	1	5
1000	40	4	40	4	45	1	5
1001	40	4	50	4	117	1	5
1002	50	4	50	4	72	1	5
1003	50	4	60	4	120	1	5
1004	60	4	60	4	84	1	5
1100	40	5	40	5	45	1	5
1101	40	5	50	5	166	1	5
1102	50	5	50	5	108	1	5
1103	50	5	60	5	180	1	5
1104	60	5	60	5	126	1	5
1200	24	3	24	3	5	1	6
1201	24	3	32	3	11	1	6
1202	32	3	32	3	8	1	6
1203	32	3	40	3	17	1	6
1204	40	3	40	3	15	1	6
1205	40	3	50	3	68	1	6
1206	50	3	50	3	45	1	6
1207	50	3	60	3	75	1	6
1208	60	3	60	3	53	1	6
1300	40	4	40	4	45	1	6
1301	40	4	50	4	117	1	6
1302	50	4	50	4	72	1	6
1303	50	4	60	4	120	1	6
1304	60	4	60	4	84	1	6
1400	40	5	40	5	45	1	6
1401	40	5	50	5	166	1	6
1402	50	5	50	5	108	1	6
1403	50	5	60	5	180	1	6
1404	60	5	60	5	126	1	6
1500	24	3	24	3	6	0	0
1501	24	3	32	3	13	0	0
1502	32	3	32	3	9	0	0
1503	32	3	40	3	20	0	0
1504	40	3	40	3	18	0	0
1505	40	3	50	3	82	0	0
1506	50	3	50	3	54	0	0
1507	50	3	60	3	90	0	0
1508	60	3	60	3	63	0	0
1600	40	4	40	4	54	0	0
1601	40	4	50	4	140	0	0
1602	50	4	50	4	86	0	0
1603	50	4	60	4	144	0	0
1604	60	4	60	4	101	0	0
1700	40	5	40	5	54	0	0
1701	40	5	50	5	199	0	0
1702	50	5	50	5	130	0	0
1703	50	5	60	5	216	0	0
1704	60	5	60	5	151	0	0
1800	24	3	24	3	6	0	1
1801	24	3	32	3	13	0	1
1802	32	3	32	3	9	0	1
1803	32	3	40	3	20	0	1
1804	40	3	40	3	18	0	1
1805	40	3	50	3	82	0	1
1806	50	3	50	3	54	0	1
1807	50	3	60	3	90	0	1
1808	60	3	60	3	63	0	1
1900	40	4	40	4	54	0	1
1901	40	4	50	4	140	0	1
1902	50	4	50	4	86	0	1
