ROWID	_GroupID|INTEGER	_MailID|INTEGER	_Prob|INTEGER	_ProbType|INTEGER
1	1	5913	100000000	0
2	1	5984	1000000000	0
3	2	5914	100000000	0
4	2	5985	1000000000	0
5	3	5915	100000000	0
6	3	5986	1000000000	0
7	4	5916	100000000	0
8	4	5987	1000000000	0
9	5	5897	100000000	0
10	5	5968	1000000000	0
11	6	5898	100000000	0
12	6	5969	1000000000	0
13	7	5917	100000000	0
14	7	5988	1000000000	0
15	8	5889	100000000	0
16	8	5960	1000000000	0
17	9	5899	100000000	0
18	9	5970	1000000000	0
19	10	5900	100000000	0
20	10	5971	1000000000	0
21	11	5922	100000000	0
22	11	5993	1000000000	0
23	12	5901	100000000	0
24	12	5972	1000000000	0
25	13	5918	100000000	0
26	13	5989	1000000000	0
27	14	5902	100000000	0
28	14	5973	1000000000	0
29	15	5903	100000000	0
30	15	5974	1000000000	0
31	16	5896	100000000	0
32	16	5967	1000000000	0
33	17	5919	100000000	0
34	17	5990	1000000000	0
35	18	5920	100000000	0
36	18	5991	1000000000	0
37	19	5904	100000000	0
38	19	5975	1000000000	0
39	20	5905	100000000	0
40	20	5976	1000000000	0
41	21	5888	100000000	0
42	21	5959	1000000000	0
43	22	5906	100000000	0
44	22	5977	1000000000	0
45	23	5907	100000000	0
46	23	5978	1000000000	0
47	24	5923	100000000	0
48	24	5994	1000000000	0
49	25	5921	100000000	0
50	25	5992	1000000000	0
51	26	5908	100000000	0
52	26	5979	1000000000	0
53	27	5909	100000000	0
54	27	5980	1000000000	0
55	28	5910	100000000	0
56	28	5981	1000000000	0
57	29	5911	100000000	0
58	29	5982	1000000000	0
59	30	5912	100000000	0
60	30	5983	1000000000	0
61	31	5890	100000000	0
62	31	5961	1000000000	0
63	32	5891	100000000	0
64	32	5962	1000000000	0
65	33	5892	100000000	0
66	33	5963	1000000000	0
67	34	5893	100000000	0
68	34	5964	1000000000	0
69	35	5894	100000000	0
70	35	5965	1000000000	0
71	36	5895	100000000	0
72	36	5966	1000000000	0
