ROWID	GamemodeID|INTEGER	GameModeUIString|INTEGER	DefaultGameWinType|INTEGER	WinCondition_1|INTEGER	WinCondition_2|INTEGER	WinCondition_3|INTEGER	WinCondition_4|INTEGER	WinCondition_5|INTEGER	WinCondition_UIString|INTEGER	PlayTime_1|INTEGER	PlayTime_2|INTEGER	PlayTime_3|INTEGER	PlayTime_4|INTEGER	PlayTime_5|INTEGER	Respawn_Time|INTEGER	Respawn_Nodamage_Time|INTEGER	Respawn_HP_Percent|INTEGER	Respawn_MP_Percent|INTEGER	NumOfPlayers_Min|INTEGER	NumOfPlayers_Max|INTEGER	WinXP_PerRound|INTEGER	LoseXP_PerRound|INTEGER	HowtoWinString|INTEGER	KOItemDropTableID|INTEGER	StartRegulation|BOOLEAN	PlayerBalance|BOOLEAN	ReleaseShow|BOOLEAN	VictoryExp_1|INTEGER	VictoryExp_2|INTEGER	VictoryExp_3|INTEGER	VictoryExp_4|INTEGER	VictoryExp_5|INTEGER	VictoryBonusRate_1|INTEGER	VictoryBonusRate_2|INTEGER	VictoryBonusRate_3|INTEGER	VictoryBonusRate_4|INTEGER	VictoryBonusRate_5|INTEGER	DefeatExp_1|INTEGER	DefeatExp_2|INTEGER	DefeatExp_3|INTEGER	DefeatExp_4|INTEGER	DefeatExp_5|INTEGER	DefeatBonusRate_1|INTEGER	DefeatBonusRate_2|INTEGER	DefeatBonusRate_3|INTEGER	DefeatBonusRate_4|INTEGER	DefeatBonusRate_5|INTEGER	MedalExp|INTEGER	LadderType|INTEGER	_FatigueConTime|INTEGER	_FatigueConValue|INTEGER	_FatigueConExp|INTEGER	_FatigueConMedal|INTEGER	_ItemID|INTEGER	_NeedInven|INTEGER	_SkillSetting|INTEGER	_SelectableRevision|BOOLEAN	_DefaultRevision|BOOLEAN	_BattleGroundID|INTEGER	_UserCreate|INTEGER	_ModeDefaultRewardItem|INTEGER	_ModeDefaultRewardValue|INTEGER	_RankRewardItem1|INTEGER	_RankRewardValue1|INTEGER	_RankRewardItem2|INTEGER	_RankRewardValue2|INTEGER	_RankRewardItem3|INTEGER	_RankRewardValue3|INTEGER	_RankRewardItem4|INTEGER	_RankRewardValue4|INTEGER	_RankRewardItem5|INTEGER	_RankRewardValue5|INTEGER	_RankRewardItem6|INTEGER	_RankRewardValue6|INTEGER	_RankRewardItem7|INTEGER	_RankRewardValue7|INTEGER	_RankRewardItem8|INTEGER	_RankRewardValue8|INTEGER	_TooltipUIString|INTEGER	_ModeImage|TEXT	_SponsorUI|BOOLEAN
1	0	120025	2	4	8	12	16	0	120310	300	600	900	1200	0	10	3	100	100	1	100	200	50	120201	201001	true	true	true	100	200	300	400	800	15	15	15	15	15	50	100	150	200	400	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7919	Colo_Respawn.dds	false
2	0	120025	2	8	16	24	32	0	120310	300	600	900	1200	0	10	3	100	100	1	100	350	100	120201	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7919	Colo_Respawn.dds	false
3	0	120025	2	16	32	48	64	0	120310	300	600	900	1200	0	10	3	100	100	1	100	500	150	120201	201001	true	true	true	400	800	1200	1600	3200	15	15	15	15	15	200	400	600	800	1600	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7919	Colo_Respawn.dds	false
4	18	8495	2	4	8	12	16	0	120310	300	600	900	1200	0	10	3	100	100	1	100	200	50	120201	201001	true	true	true	100	200	300	400	800	15	15	15	15	15	50	100	150	200	400	10	10	10	10	10	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8849	Colo_AI.dds	false
5	18	8495	2	8	16	24	32	0	120310	300	600	900	1200	0	10	3	100	100	1	100	350	100	120201	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8849	Colo_AI.dds	false
6	18	8495	2	16	32	48	64	0	120310	300	600	900	1200	0	10	3	100	100	1	100	500	150	120201	201001	true	true	true	400	800	1200	1600	3200	15	15	15	15	15	200	400	600	800	1600	10	10	10	10	10	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8849	Colo_AI.dds	false
7	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
10	1	120024	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	100	0	120200	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7920	Colo_Round.dds	false
11	1	120024	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	150	50	120200	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7920	Colo_Round.dds	false
