ROWID	PlayerNumber|INTEGER	TeamPlayerNumber|INTEGER	Min_TeamPlayerNum_Needed|INTEGER	Max_TeamPlayerNum_Difference|INTEGER
1	2	1	1	0
2	4	2	1	1
3	6	3	1	1
4	8	4	2	1
5	10	5	2	1
6	12	6	3	2
7	14	7	3	2
8	16	8	3	2
9	18	9	3	2
10	20	10	4	2
11	22	11	4	2
12	24	12	4	2
13	26	13	4	2
14	28	14	4	3
15	30	15	5	3
16	32	16	5	3
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	4	2	4	0
31	8	4	8	0
32	16	8	16	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
60	32	16	16	0
81	10	5	2	0
100	1	1	0	0
120	12	6	6	0
122	12	6	6	0
125	12	6	6	0
202	4	2	1	1
211	22	11	4	2
221	0	0	0	0
241	0	0	0	0
