ROWID	_Season|INTEGER	_Period|TEXT	_Weekday|INTEGER	_StartTime|INTEGER	_EndTime|INTEGER
1416	27	202107010000:202108222359	1	1800	2300
1417	27	202107010000:202108222359	2	1800	2300
1418	27	202107010000:202108222359	3	1800	2300
1419	27	202107010000:202108222359	4	1800	2300
1420	27	202107010000:202108222359	5	1800	2300
1421	27	202107010000:202108222359	6	1200	1600
1422	27	202107010000:202108222359	6	1800	2300
1423	27	202107010000:202108222359	0	1200	1600
1424	27	202107010000:202108222359	0	1800	2300
1425	0	202108230000:202108312359	1	0	2400
1426	0	202108230000:202108312359	2	0	2400
1427	0	202108230000:202108312359	3	0	2400
1428	0	202108230000:202108312359	4	0	2400
1429	0	202108230000:202108312359	5	0	2400
1430	0	202108230000:202108312359	6	0	2400
1431	0	202108230000:202108312359	0	0	2400
1432	28	202109010000:202110242359	1	1800	2300
1433	28	202109010000:202110242359	2	1800	2300
1434	28	202109010000:202110242359	3	1800	2300
1435	28	202109010000:202110242359	4	1800	2300
1436	28	202109010000:202110242359	5	1800	2300
1437	28	202109010000:202110242359	6	1200	1600
1438	28	202109010000:202110242359	6	1800	2300
1439	28	202109010000:202110242359	0	1200	1600
1440	28	202109010000:202110242359	0	1800	2300
1441	0	202110250000:202110312359	1	0	2400
1442	0	202110250000:202110312359	2	0	2400
1443	0	202110250000:202110312359	3	0	2400
1444	0	202110250000:202110312359	4	0	2400
1445	0	202110250000:202110312359	5	0	2400
1446	0	202110250000:202110312359	6	0	2400
1447	0	202110250000:202110312359	0	0	2400
1448	29	202111010000:202112262359	1	1800	2300
1449	29	202111010000:202112262359	2	1800	2300
1450	29	202111010000:202112262359	3	1800	2300
1451	29	202111010000:202112262359	4	1800	2300
1452	29	202111010000:202112262359	5	1800	2300
1453	29	202111010000:202112262359	6	1200	1600
1454	29	202111010000:202112262359	6	1800	2300
1455	29	202111010000:202112262359	0	1200	1600
1456	29	202111010000:202112262359	0	1800	2300
1457	0	202112270000:202112312359	1	0	2400
1458	0	202112270000:202112312359	2	0	2400
1459	0	202112270000:202112312359	3	0	2400
1460	0	202112270000:202112312359	4	0	2400
1461	0	202112270000:202112312359	5	0	2400
1462	0	202112270000:202112312359	6	0	2400
1463	0	202112270000:202112312359	0	0	2400
1464	30	202201010000:202202202359	1	1800	2300
1465	30	202201010000:202202202359	2	1800	2300
1466	30	202201010000:202202202359	3	1800	2300
1467	30	202201010000:202202202359	4	1800	2300
1468	30	202201010000:202202202359	5	1800	2300
1469	30	202201010000:202202202359	6	1200	1600
1470	30	202201010000:202202202359	6	1800	2300
1471	30	202201010000:202202202359	0	1200	1600
1472	30	202201010000:202202202359	0	1800	2300
1473	0	202202210000:202202282359	1	0	2400
1474	0	202202210000:202202282359	2	0	2400
1475	0	202202210000:202202282359	3	0	2400
1476	0	202202210000:202202282359	4	0	2400
1477	0	202202210000:202202282359	5	0	2400
1478	0	202202210000:202202282359	6	0	2400
1479	0	202202210000:202202282359	0	0	2400
1480	31	202203010000:202204242359	1	1800	2300
1481	31	202203010000:202204242359	2	1800	2300
1482	31	202203010000:202204242359	3	1800	2300
1483	31	202203010000:202204242359	4	1800	2300
1484	31	202203010000:202204242359	5	1800	2300
1485	31	202203010000:202204242359	6	1200	1600
1486	31	202203010000:202204242359	6	1800	2300
1487	31	202203010000:202204242359	0	1200	1600
1488	31	202203010000:202204242359	0	1800	2300
1489	0	202204250000:202204302359	1	0	2400
1490	0	202204250000:202204302359	2	0	2400
1491	0	202204250000:202204302359	3	0	2400
1492	0	202204250000:202204302359	4	0	2400
1493	0	202204250000:202204302359	5	0	2400
1494	0	202204250000:202204302359	6	0	2400
1495	0	202204250000:202204302359	0	0	2400
1496	32	202205010000:202206262359	1	1800	2300
1497	32	202205010000:202206262359	2	1800	2300
1498	32	202205010000:202206262359	3	1800	2300
1499	32	202205010000:202206262359	4	1800	2300
1500	32	202205010000:202206262359	5	1800	2300
1501	32	202205010000:202206262359	6	1200	1600
1502	32	202205010000:202206262359	6	1800	2300
1503	32	202205010000:202206262359	0	1200	1600
1504	32	202205010000:202206262359	0	1800	2300
1505	0	202206270000:202306302359	1	0	2400
1506	0	202206270000:202306302359	2	0	2400
1507	0	202206270000:202306302359	3	0	2400
1508	0	202206270000:202306302359	4	0	2400
1509	0	202206270000:202306302359	5	0	2400
1510	0	202206270000:202306302359	6	0	2400
1511	0	202206270000:202306302359	0	0	2400
