ROWID	_LadderType|INTEGER	MapTableID|INTEGER	MapNameUIstring|INTEGER	GameModeType|INTEGER	GameModeTpye_UIStingPvP|INTEGER	GameModeTpye_UIStingCOOP|INTEGER	GameModeTableID_1|INTEGER	GameModeTableID_2|INTEGER	GameModeTableID_3|INTEGER	GameModeTableID_4|INTEGER	GameModeTableID_5|INTEGER	GameModeTableID_6|INTEGER	GameModeTableID_7|INTEGER	GameModeTableID_8|INTEGER	GameModeTableID_9|INTEGER	GameModeTableID_10|INTEGER	NumOfPlayersOption1|INTEGER	NumOfPlayersOption2|INTEGER	NumOfPlayersOption3|INTEGER	NumOfPlayersOption4|INTEGER	NumOfPlayersOption5|INTEGER	DefaultNumOfPlayers|INTEGER	Allow_Breakin_PlayingGame|BOOLEAN	ItemUsageType|INTEGER	AllowItemDrop|BOOLEAN	IsGuildBattleGround|BOOLEAN	ReleaseShow|BOOLEAN	MapImage|TEXT
10001	0	10001	880001	0	120022	120023	2	11	21	41	81	202	211	221	241	0	2	4	8	12	16	8	true	0	true	false	true	Temple.dds
10003	0	10003	880003	0	120022	120023	2	11	21	41	81	0	0	0	0	0	2	4	6	8	0	4	true	0	true	false	true	1VS1.dds
10004	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10012	0	10012	1000032040	0	120022	120023	2	11	21	41	81	0	0	0	0	0	2	4	6	8	10	8	true	0	true	false	true	4vs4Gournd.dds
10014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10015	1	10015	1000021680	0	120022	120023	71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	false	0	false	false	true	Ladder_1on1_Moon.dds
10016	2	10016	1000021680	0	120022	120023	72	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	false	0	false	false	true	Ladder_1on1_Moon.dds
10017	3	10017	1000021680	0	120022	120023	73	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	false	0	false	false	true	Ladder_1on1_Moon.dds
10018	4	10018	1000021680	0	120022	120023	74	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	false	0	false	false	true	Ladder_1on1_Moon.dds
10019	6	10015	1000021680	0	120022	120023	76	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	false	0	false	false	true	Ladder_1on1_Moon.dds
10020	0	10020	121088	0	120022	120023	51	0	0	0	0	0	0	0	0	0	4	8	12	16	0	16	true	0	true	false	true	MonsterMode.dds
10021	0	10021	121097	0	120022	120023	52	0	0	0	0	0	0	0	0	0	4	8	12	16	0	16	true	0	true	false	true	MonsterMode3.dds
10022	0	10022	1000065708	0	120022	120023	5	14	0	0	0	0	0	0	0	0	4	8	10	12	16	8	true	0	false	false	true	Temple_AI.dds
10023	0	10023	1000065709	0	120022	120023	5	14	0	0	0	0	0	0	0	0	4	8	10	12	16	8	true	0	false	false	true	Round&Round_AI.dds
10024	0	10024	1016866	0	1016866	1016866	120	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	true	0	true	false	true	PvP_Hunting_Lobby.dds
10025	5	10015	1000021680	0	120022	120023	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	false	0	false	false	true	Ladder_1on1_Moon.dds
10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	8	true	0	false	false	false	Temple.dds
10027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	true	0	true	false	false	GuildWar_Field_01_Lobby.dds
10028	0	10028	120316	0	120022	120023	121	0	0	0	0	0	0	0	0	0	8	16	0	0	0	16	false	0	false	false	true	MonsterMode4.dds
10029	0	10029	1000101881	0	120022	120023	2	0	0	0	0	0	0	0	0	0	8	16	2	0	0	16	false	0	false	false	false	MonsterMode4.dds
10030	0	10030	1016866	0	1016866	1016866	125	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	true	0	true	false	true	PvP_Hunting_Lobby.dds
10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
