ROWID	_PVPChannel|INTEGER	_PvPMissionRoomGroup|INTEGER	_PvPMapTableID|INTEGER	_PvPGameModeTableID|INTEGER	_WinCondition|INTEGER	_PlayTime|INTEGER	_LimitLevelMin|INTEGER	_LimitLevelMax|INTEGER	_MaxUser|INTEGER	_StartUser|INTEGER	_TitleUIString|INTEGER	_DropItem|INTEGER
1	1	1	10001	2	32	1200	1	100	16	2	126190	0
3	1	3	10001	21	3	180	1	100	16	2	126190	0
4	1	4	10001	41	8	600	1	100	16	2	126190	0
5	1	1	10006	2	32	1200	1	100	16	2	126190	0
7	1	3	10006	21	3	180	1	100	16	2	126190	0
8	1	4	10006	41	8	600	1	100	16	2	126190	0
9	1	1	10007	2	32	1200	1	100	16	2	126190	0
11	1	3	10007	21	3	180	1	100	16	2	126190	0
12	1	4	10007	41	8	600	1	100	16	2	126190	0
13	1	1	10008	2	32	1200	1	100	16	2	126190	0
15	1	3	10008	21	3	180	1	100	16	2	126190	0
16	1	4	10008	41	8	600	1	100	16	2	126190	0
17	1	1	10009	2	32	1200	1	100	16	2	126190	0
19	1	3	10009	21	3	180	1	100	16	2	126190	0
20	1	4	10009	41	8	600	1	100	16	2	126190	0
21	1	5	10020	51	5	180	1	100	16	2	126190	1
24	0	1	10001	2	32	1200	1	100	16	2	126190	0
26	0	3	10001	21	3	180	1	100	16	2	126190	0
27	0	4	10001	41	8	600	1	100	16	2	126190	0
28	0	1	10006	2	32	1200	1	100	16	2	126190	0
30	0	3	10006	21	3	180	1	100	16	2	126190	0
31	0	4	10006	41	8	600	1	100	16	2	126190	0
32	0	1	10007	2	32	1200	1	100	16	2	126190	0
34	0	3	10007	21	3	180	1	100	16	2	126190	0
35	0	4	10007	41	8	600	1	100	16	2	126190	0
36	0	1	10008	2	32	1200	1	100	16	2	126190	0
38	0	3	10008	21	3	180	1	100	16	2	126190	0
39	0	4	10008	41	8	600	1	100	16	2	126190	0
40	0	1	10009	2	32	1200	1	100	16	2	126190	0
42	0	3	10009	21	3	180	1	100	16	2	126190	0
43	0	4	10009	41	8	600	1	100	16	2	126190	0
44	0	5	10020	51	5	180	1	100	16	2	126190	1
47	1	1	10010	2	32	1200	1	100	16	2	126190	0
48	1	1	10011	2	32	1200	1	100	16	2	126190	0
49	0	1	10010	2	32	1200	1	100	16	2	126190	0
50	0	1	10011	2	32	1200	1	100	16	2	126190	0
55	1	3	10010	21	3	180	1	100	16	2	126190	0
56	1	3	10011	21	3	180	1	100	16	2	126190	0
57	0	3	10010	21	3	180	1	100	16	2	126190	0
58	0	3	10011	21	3	180	1	100	16	2	126190	0
59	1	4	10010	41	8	600	1	100	16	2	126190	0
60	1	4	10011	41	8	600	1	100	16	2	126190	0
61	0	4	10010	41	8	600	1	100	16	2	126190	0
62	0	4	10011	41	8	600	1	100	16	2	126190	0
63	1	1	10013	2	32	1200	1	100	16	2	126190	0
65	1	3	10013	21	3	180	1	100	16	2	126190	0
66	1	4	10013	41	8	600	1	100	16	2	126190	0
67	0	1	10013	2	32	1200	1	100	16	2	126190	0
69	0	3	10013	21	3	180	1	100	16	2	126190	0
70	0	4	10013	41	8	600	1	100	16	2	126190	0
71	1	8	10024	120	30000	1200	1	100	12	12	126190	0
73	1	8	10030	125	30000	1200	1	100	12	12	126190	0
74	1	11	10001	202	16	600	1	100	16	2	126190	0
75	1	11	10006	202	16	600	1	100	16	2	126190	0
76	1	11	10007	202	16	600	1	100	16	2	126190	0
77	1	11	10008	202	16	600	1	100	16	2	126190	0
78	1	11	10009	202	16	600	1	100	16	2	126190	0
79	1	11	10010	202	16	600	1	100	16	2	126190	0
80	1	11	10011	202	16	600	1	100	16	2	126190	0
81	1	11	10013	202	16	600	1	100	16	2	126190	0
82	1	12	10001	211	3	180	1	100	16	2	126190	0
83	1	12	10006	211	3	180	1	100	16	2	126190	0
84	1	12	10007	211	3	180	1	100	16	2	126190	0
85	1	12	10008	211	3	180	1	100	16	2	126190	0
86	1	12	10009	211	3	180	1	100	16	2	126190	0
87	1	12	10010	211	3	180	1	100	16	2	126190	0
88	1	12	10011	211	3	180	1	100	16	2	126190	0
89	1	12	10013	211	3	180	1	100	16	2	126190	0
90	1	13	10001	221	3	180	1	100	16	2	126190	0
91	1	13	10006	221	3	180	1	100	16	2	126190	0
92	1	13	10007	221	3	180	1	100	16	2	126190	0
93	1	13	10008	221	3	180	1	100	16	2	126190	0
94	1	13	10009	221	3	180	1	100	16	2	126190	0
95	1	13	10010	221	3	180	1	100	16	2	126190	0
96	1	13	10011	221	3	180	1	100	16	2	126190	0
97	1	13	10013	221	3	180	1	100	16	2	126190	0
98	1	14	10001	241	8	600	1	100	16	2	126190	0
99	1	14	10006	241	8	600	1	100	16	2	126190	0
100	1	14	10007	241	8	600	1	100	16	2	126190	0
101	1	14	10008	241	8	600	1	100	16	2	126190	0
102	1	14	10009	241	8	600	1	100	16	2	126190	0
103	1	14	10010	241	8	600	1	100	16	2	126190	0
104	1	14	10011	241	8	600	1	100	16	2	126190	0
105	1	14	10013	241	8	600	1	100	16	2	126190	0
