ROWID	_PVPRankID|INTEGER	_RewardItemID1|INTEGER	_Count1|INTEGER	_RewardItemID2|INTEGER	_Count2|INTEGER
1	1	0	0	0	0
2	2	268494501	19	0	0
3	3	268494501	19	0	0
4	4	268494501	19	0	0
5	5	268494501	37	0	0
6	6	268494501	37	0	0
7	7	268494501	37	0	0
8	8	268494501	74	0	0
9	9	268494501	74	0	0
10	10	268494501	74	0	0
11	11	268494501	110	0	0
12	12	268494501	110	0	0
13	13	268494501	110	0	0
14	14	268494501	147	0	0
15	15	268494501	147	0	0
16	16	268494501	147	0	0
17	17	268494501	184	0	0
18	18	268494501	184	0	0
19	19	268494501	184	0	0
20	20	268494501	220	0	0
21	21	268494501	220	0	0
22	22	268494501	220	0	0
23	23	268494501	257	0	0
24	24	268494501	257	0	0
25	25	268494501	257	0	0
26	26	268494501	880	0	0
