ROWID	_ChapterIndex|INTEGER	_ChapterStringIndex|INTEGER	_ChapterImageFile|TEXT
1	1	1250003	Chapter_01.dds
2	2	1250006	Chapter_02.dds
3	3	1250007	Chapter_03.dds
4	4	1250008	Chapter_04.dds
5	5	1250009	Chapter_05.dds
6	6	1250010	Chapter_06.dds
7	7	1250011	Chapter_07.dds
8	8	1250012	Chapter_08.dds
9	9	1250013	Chapter_09.dds
10	10	1250014	Chapter_10.dds
11	11	1250015	Chapter_11.dds
12	12	1250016	Chapter_12.dds
13	13	1250017	Chapter_13.dds
14	14	1250018	Chapter_14.dds
15	15	1250019	Chapter_15.dds
16	16	1250020	Chapter_16.dds
17	17	1250021	Chapter_17.dds
18	18	1250058	Chapter_18.dds
19	19	1200163	Chapter_19.dds
20	20	1250317	Chapter_20.dds
21	21	1250091	Chapter_21.dds
22	22	1200391	Chapter_22.dds
23	23	1200658	Chapter_23.dds 
24	24	1200797	Chapter_24.dds
25	25	1200911	Chapter_25.dds
10000	10000	190	Promise.dds
101	101	1200321	Chapter_26.dds
102	102	1200322	Chapter_27.dds
103	103	1201022	Chapter_28.dds
26	26	1201023	Chapter_29.dds
104	104	1201024	Chapter_29.dds
27	27	1201063	Chapter_30.dds
105	105	1201064	Chapter_30.dds
