ROWID	_Activate|INTEGER	_qchapter|INTEGER	_class|INTEGER	_level|INTEGER	_PreQuestCondition|INTEGER	_skipQuest|TEXT	_skipAfterQuest|INTEGER	_MemoryDescriptionIndex|INTEGER	_MemoryDescriptionIndex1|INTEGER	_MemoryDescriptionIndex2|INTEGER	_MemoryDescriptionIndex3|INTEGER	_MemoryDescriptionIndex4|INTEGER	_MemoryDescriptionIndex5|INTEGER	_ChapterStringIndex|INTEGER	_MemoryImage|TEXT
1	1	1	1	95	21	12,13,14,15,17,18,19,20,21	201	0	0	0	0	0	0	0	
2	1	1	2	95	21	12,13,14,16,17,18,19,20,21	201	0	0	0	0	0	0	0	
3	1	1	3	95	144	135,136,137,138,139,140,141,142,143,144	201	0	0	0	0	0	0	0	
4	1	1	4	95	134	125,126,127,128,129,130,131,132,133,134,155,156,157	201	0	0	0	0	0	0	0	
5	1	1	5	95	100	91,92,93,94,95,96,97,98,99,100	221	0	0	0	0	0	0	0	
6	1	1	6	95	30	26,27,28,29,30	201	0	0	0	0	0	0	0	
7	1	1	7	95	35	31,32,33,34,35	186	0	0	0	0	0	0	0	
8	1	1	8	95	9467	9460,9461,9462,9463,9464,9465,9466,9467	9468	0	0	0	0	0	0	0	
9	1	2	1	95	206	201,202,203,204,205,206	207	0	0	0	0	0	0	0	
10	1	2	2	95	206	201,202,203,204,205,206	207	0	0	0	0	0	0	0	
11	1	2	3	95	206	201,202,203,204,205,206	207	0	0	0	0	0	0	0	
12	1	2	4	95	206	201,202,203,204,205,206	207	0	0	0	0	0	0	0	
13	1	2	5	95	226	221,222,223,224,225,226	227	0	0	0	0	0	0	0	
14	1	2	6	95	206	201,202,203,204,205,206	207	0	0	0	0	0	0	0	
15	1	2	7	95	191	186,187,188,189,190,191	192	0	0	0	0	0	0	0	
16	1	2	8	95	9472	9468,9469,9470,9471,9472	9473	0	0	0	0	0	0	0	
17	1	3	1	95	218	207,208,209,210,211,212,213,214,215,216,217,218	401	0	0	0	0	0	0	0	
18	1	3	2	95	218	207,208,209,210,211,212,213,214,215,216,217,218	401	0	0	0	0	0	0	0	
19	1	3	3	95	218	207,208,209,210,211,212,213,214,215,216,217,218	401	0	0	0	0	0	0	0	
20	1	3	4	95	218	207,208,209,210,211,212,213,214,215,216,217,218	401	0	0	0	0	0	0	0	
21	1	3	5	95	237	227,228,229,230,231,232,233,234,235,236,237	432	0	0	0	0	0	0	0	
22	1	3	6	95	218	207,208,209,210,211,212,213,214,215,216,217,218	401	0	0	0	0	0	0	0	
23	1	3	7	95	200	192,193,194,195,196,197,198,199,200	9300	0	0	0	0	0	0	0	
24	1	3	8	95	9477	9473,208,9474,211,212,213,214,215,9475,217,9476,9477	9478	0	0	0	0	0	0	0	
25	1	4	1	95	409	401,402,419,420,403,421,404,405,406,407,408,409	410	0	0	0	0	0	0	0	
26	1	4	2	95	409	401,402,419,420,403,421,404,405,406,407,408,409	410	0	0	0	0	0	0	0	
27	1	4	3	95	409	401,402,419,420,403,421,404,405,406,407,408,409	410	0	0	0	0	0	0	0	
28	1	4	4	95	409	401,402,419,420,403,421,404,405,406,407,408,409	410	0	0	0	0	0	0	0	
29	1	4	5	95	443	432,433,434,435,436,437,438,439,440,441,442,443	382	0	0	0	0	0	0	0	
30	1	4	6	95	409	401,402,419,420,403,421,404,405,406,407,408,409	410	0	0	0	0	0	0	0	
31	1	4	7	95	9311	9300,9301,9302,9303,9304,9305,9306,9307,9308,9309,9310,9311	9312	0	0	0	0	0	0	0	
32	1	4	8	95	9489	9478,9479,9480,9481,9482,9483,9484,9485,9486,9487,9488,9489	9490	0	0	0	0	0	0	0	
33	1	5	1	95	431	410,411,413,414,415,416,417,422,423,424,425,426,427,428,429,430,431,9727,9728,9729	701	0	0	0	0	0	0	0	
34	1	5	2	95	431	410,411,413,414,415,416,417,422,423,424,425,426,427,428,429,430,431,9727,9728,9729	701	0	0	0	0	0	0	0	
35	1	5	3	95	431	410,411,413,414,415,416,417,422,423,424,425,426,427,428,429,430,431,9727,9728,9729	701	0	0	0	0	0	0	0	
36	1	5	4	95	431	410,411,413,414,415,416,417,422,423,424,425,426,427,428,429,430,431,9727,9728,9729	701	0	0	0	0	0	0	0	
37	1	5	5	95	399	382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,9727,9728,9729	724	0	0	0	0	0	0	0	
38	1	5	6	95	431	410,411,413,414,415,416,417,422,423,424,425,426,427,428,429,430,431,9727,9728,9729	701	0	0	0	0	0	0	0	
39	1	5	7	95	9329	9312,9313,9314,9315,9316,9317,9318,9319,9320,9321,9322,9323,9324,9325,9326,9327,9328,9329,9727,9728,9729	9330	0	0	0	0	0	0	0	
40	1	5	8	95	9502	9490,413,9491,9492,9493,9494,9495,9496,9497,9498,9499,9500,9501,9502,9727,9728,9729	9503	0	0	0	0	0	0	0	
41	1	6	1	95	717	701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717	718	0	0	0	0	0	0	0	
42	1	6	2	95	717	701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717	718	0	0	0	0	0	0	0	
43	1	6	3	95	717	701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717	718	0	0	0	0	0	0	0	
44	1	6	4	95	717	701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717	718	0	0	0	0	0	0	0	
45	1	6	5	95	738	724,725,726,727,728,729,730,731,732,733,734,735,736,737,738	739	0	0	0	0	0	0	0	
46	1	6	6	95	717	701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717	718	0	0	0	0	0	0	0	
47	1	6	7	95	9344	9330,9331,9332,9333,9334,9335,9336,9337,9338,9339,9340,9341,9342,9343,9344	9345	0	0	0	0	0	0	0	
48	1	6	8	95	9516	9503,9504,9505,9506,9507,9508,9509,9510,9511,9512,9513,9514,9515,9516	9517	0	0	0	0	0	0	0	
49	1	7	1	95	723	718,719,720,721,722,723	9200	0	0	0	0	0	0	0	
50	1	7	2	95	723	718,719,720,721,722,723	9200	0	0	0	0	0	0	0	
51	1	7	3	95	723	718,719,720,721,722,723	9200	0	0	0	0	0	0	0	
52	1	7	4	95	723	718,719,720,721,722,723	9200	0	0	0	0	0	0	0	
53	1	7	5	95	744	739,740,741,742,743,744	9200	0	0	0	0	0	0	0	
54	1	7	6	95	723	718,719,720,721,722,723	9200	0	0	0	0	0	0	0	
55	1	7	7	95	9352	9345,9346,9347,9348,9349,9350,9351,9352	9353	0	0	0	0	0	0	0	
56	1	7	8	95	9522	9517,9518,9519,9520,9521,9522	9523	0	0	0	0	0	0	0	
57	1	8	1	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
58	1	8	2	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
59	1	8	3	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
60	1	8	4	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
61	1	8	5	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
62	1	8	6	95	9209	9200,9201,9202,9203,9204,9205,9206,9207,9208,9209,9730,9731,9732	9210	0	0	0	0	0	0	0	
63	1	8	7	95	9362	9353,9354,9355,9356,9357,9358,9359,9360,9361,9362,9730,9731,9732	9363	0	0	0	0	0	0	0	
64	1	8	8	95	9529	9523,9524,9525,9526,9527,9528,9529,9730,9731,9732	9530	0	0	0	0	0	0	0	
65	1	9	1	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9225	0	0	0	0	0	0	0	
66	1	9	2	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9225	0	0	0	0	0	0	0	
67	1	9	3	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9225	0	0	0	0	0	0	0	
68	1	9	4	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9225	0	0	0	0	0	0	0	
69	1	9	5	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9241	0	0	0	0	0	0	0	
70	1	9	6	95	9224	9210,9211,9212,9213,9214,9215,9216,9217,9218,9219,9220,9221,9222,9223,9224	9225	0	0	0	0	0	0	0	
71	1	9	7	95	9377	9363,9364,9365,9366,9367,9368,9369,9370,9371,9372,9373,9374,9375,9376,9377	9378	0	0	0	0	0	0	0	
72	1	9	8	95	9545	9530,9531,9532,9533,9534,9535,9536,9537,9538,9539,9540,9541,9542,9543,9544,9545	9546	0	0	0	0	0	0	0	
73	1	10	1	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
74	1	10	2	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
75	1	10	3	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
76	1	10	4	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
77	1	10	5	95	9245	9241,9242,9243,9244,9245	9251	0	0	0	0	0	0	0	
78	1	10	6	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
79	1	10	7	95	9382	9378,9379,9380,9381,9382	9383	0	0	0	0	0	0	0	
80	1	10	8	95	9550	9546,9547,9548,9549,9550	9551	0	0	0	0	0	0	0	
81	1	11	1	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9282	0	0	0	0	0	0	0	
82	1	11	2	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9264	0	0	0	0	0	0	0	
83	1	11	3	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9282	0	0	0	0	0	0	0	
84	1	11	4	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9282	0	0	0	0	0	0	0	
85	1	11	5	95	9263	9251,9252,9253,9261,9262,9263,9733,9734,9735	9282	0	0	0	0	0	0	0	
86	1	11	6	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9282	0	0	0	0	0	0	0	
87	1	11	7	95	9388	9383,9384,9385,9386,9387,9388,9733,9734,9735	9282	0	0	0	0	0	0	0	
88	1	11	8	95	9556	9551,9552,9553,9554,9555,9556,9733,9734,9735	9282	0	0	0	0	0	0	0	
89	1	12	1	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
