ROWID	_HP|DOUBLE	_SP|DOUBLE	RecoverySP|DOUBLE	_StrengthAttack|DOUBLE	_AgilityAttack|DOUBLE	_IntelligenceAttack|DOUBLE	_PhysicalDefense|DOUBLE	_MagicDefense|DOUBLE	_Critical|DOUBLE	_CriticalResistance|DOUBLE	_Stiff|DOUBLE	_StiffResistance|DOUBLE	_Stun|DOUBLE	_StunResistance|DOUBLE	_MoveSpeed|DOUBLE	_MoveSpeedRevision|DOUBLE	_DownDelay|DOUBLE	_ElementAttack|DOUBLE	_ElementDefense|DOUBLE	_ElementDefenseMin|DOUBLE	_ElementDefenseMax|DOUBLE	_SpiritDefault|DOUBLE	_SpiritIncreaseRevision|DOUBLE	_SpiritDecreaseRevision|DOUBLE	_StrengthIntelligenceToCriticalDamage|DOUBLE	PVP_Attack|DOUBLE	PVP_Defense|DOUBLE	_StrengthToCriticalDamage|DOUBLE	_AgilityToCriticalDamage|DOUBLE	_IntelligenceToCriticalDamage|DOUBLE
1	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
2	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
3	30.0	0.0	0.0	0.1875	0.3125	0.75	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
4	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
5	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
6	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
7	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
8	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
9	30.0	0.0	0.0	0.25	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
10	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
11	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
12	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
14	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
15	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
16	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
17	30.0	0.0	0.0	0.1875	0.3125	0.75	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
18	30.0	0.0	0.0	0.1875	0.3125	0.75	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
19	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
20	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.0	0.0	3.0
21	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
22	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
23	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
24	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
25	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
26	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
