ROWID	_MainCategory|INTEGER	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_Gain1Type|INTEGER	_Gain1Param|INTEGER	_Activate|INTEGER
1	0	35	1000071966	1	0	1
2	0	35	1000073884	2	0	1
3	0	35	1000072001	3	0	1
4	0	35	1000072002	4	0	1
5	0	35	1000072003	5	1	1
6	0	35	1000072004	5	0	1
7	0	35	1000075136	20	0	1
8	0	35	1000072719	7	0	1
9	0	35	1000072720	8	0	1
10	0	35	1000072721	9	1	1
11	0	35	1000072722	9	0	1
12	0	35	1000072723	26	44	1
13	0	35	1000072724	26	35	1
14	0	35	1000072725	6	612442112	1
15	0	35	1000072726	6	536871669	0
16	0	35	1000072727	6	536873241	1
17	1	2419	1000072884	16	1	1
18	1	2419	1000072885	16	2	1
19	1	2419	1000072886	16	3	0
20	1	2419	1000072887	19	1	1
21	1	2419	1000072888	17	1	1
22	1	2419	1000072889	17	2	1
23	1	2419	1000072890	17	3	0
24	1	2419	1000072891	19	2	1
25	1	2419	1000072892	18	1	1
26	1	2419	1000072893	18	2	1
27	1	2419	1000072894	18	3	0
28	1	2419	1000072895	19	3	1
29	1	2419	1000072896	14	1	1
30	1	2419	1000072897	15	1	1
31	1	2419	1000072898	14	2	1
32	1	2419	1000072899	15	2	1
33	1	2419	1000072900	14	4	1
34	1	2419	1000072901	15	4	1
35	1	2419	1000072902	14	3	1
36	1	2419	1000072903	15	3	1
37	1	2419	1000072904	14	5	1
38	1	2419	1000072905	15	5	1
39	1	2419	1000072906	14	6	1
40	1	2419	1000072907	15	6	1
41	1	2419	1000072908	14	7	1
42	1	2419	1000072909	15	7	1
43	2	1372	1000073983	27	14085	0
44	2	1372	1000073984	12	14085	0
45	2	1372	1000074124	28	14085	0
46	2	1372	1000073985	27	14084	0
47	2	1372	1000073986	12	14084	0
48	2	1372	1000074125	28	14084	0
49	2	1372	1000073987	27	14002	1
50	2	1372	1000073988	12	14002	1
51	2	1372	1000074126	28	14002	1
52	2	1372	1000073989	27	14003	1
53	2	1372	1000073990	12	14003	1
54	2	1372	1000074127	28	14003	1
55	2	1372	1000073991	27	14011	1
56	2	1372	1000073992	12	14011	1
57	2	1372	1000073992	28	14011	1
58	2	1372	1000073993	27	14023	0
59	2	1372	1000074128	12	14023	0
60	2	1372	1000074129	28	14023	0
61	2	1372	1000073995	27	14021	1
62	2	1372	1000074130	12	14021	1
63	2	1372	1000074131	28	14021	1
64	2	1372	1000073997	27	14031	1
65	2	1372	1000074132	12	14031	1
66	2	1372	1000074133	28	14031	1
67	2	1372	1000073999	27	14037	0
68	2	1372	1000074000	12	14037	0
69	2	1372	1000074134	28	14037	0
70	2	1372	1000074001	27	14033	1
71	2	1372	1000074002	12	14033	1
72	2	1372	1000074135	28	14033	1
73	2	1372	1000074003	27	14096	1
74	2	1372	1000074004	12	14096	1
75	2	1372	1000074136	28	14096	1
76	2	1372	1000074005	27	14196	0
77	2	1372	1000074006	12	14196	0
78	2	1372	1000074137	28	14196	0
79	2	1372	1000074007	27	14097	1
80	2	1372	1000074008	12	14097	1
81	2	1372	1000074138	28	14097	1
82	2	1372	1000074009	27	14041	1
83	2	1372	1000074010	12	14041	1
84	2	1372	1000074139	28	14041	1
85	2	1372	1000074011	27	14048	0
86	2	1372	1000074012	12	14048	0
87	2	1372	1000074140	28	14048	0
88	2	1372	1000074013	27	14051	1
89	2	1372	1000074014	12	14051	1
90	2	1372	1000074141	28	14051	1
91	2	1372	1000074015	27	14151	1
92	2	1372	1000074016	12	14151	1
93	2	1372	1000074142	28	14151	1
94	2	1372	1000074017	27	14153	0
95	2	1372	1000074018	12	14153	0
96	2	1372	1000074143	28	14153	0
97	2	1372	1000074019	27	14161	1
98	2	1372	1000074020	12	14161	1
99	2	1372	1000074144	28	14161	1
100	2	1372	1000074021	27	14100	1
101	2	1372	1000074022	12	14100	1
102	2	1372	1000074145	28	14100	1
103	2	1372	1000074023	27	14103	0
104	2	1372	1000074024	12	14103	0
105	2	1372	1000074146	28	14103	0
106	2	1372	1000074025	27	14101	1
