ROWID	_NpcID|INTEGER	_NpcIcon|INTEGER	_QuestID|INTEGER	_QuestID2|TEXT	_MaxFavor|INTEGER	_TakeFavor|INTEGER	_MaxMalice|INTEGER	_AddMalice|INTEGER	_PlusItemID|INTEGER	_PlusProb|INTEGER	_PresentID1|INTEGER	_PresentID2|INTEGER	_PresentID3|INTEGER	_PresentID4|INTEGER	_PresentID5|INTEGER	_PresentID6|INTEGER	_FavorNpc|TEXT	_FavorGroupBomb|INTEGER	_MaliceNpc|TEXT	_MaliceGroupBomb|INTEGER	_NPCInfoID|INTEGER	_BromideQuest1|INTEGER	_BromideS1|INTEGER	_Bromide1|TEXT	_BromideQuest2|INTEGER	_BromideS2|INTEGER	_Bromide2|TEXT	_BromideQuest3|INTEGER	_BromideS3|INTEGER	_Bromide3|TEXT	_MailID1|INTEGER	_Probability1|INTEGER	_MailID2|INTEGER	_Probability2|INTEGER	_MailID3|INTEGER	_Probability3|INTEGER	_MailID4|INTEGER	_Probability4|INTEGER	_MailID5|INTEGER	_Probability5|INTEGER	_MailID6|INTEGER	_Probability6|INTEGER	_MailID7|INTEGER	_Probability7|INTEGER	_MailID8|INTEGER	_Probability8|INTEGER	_MailID9|INTEGER	_Probability9|INTEGER	_MailID10|INTEGER	_Probability10|INTEGER	_MailID11|INTEGER	_Probability11|INTEGER	_MailID12|INTEGER	_Probability12|INTEGER	_UnionID|INTEGER	_RibbonTypeID|INTEGER	_RibbonRewardInforID|INTEGER	_5_RibbonRewardInforID|INTEGER	_PresentPointID1|INTEGER	_PresentPointID2|INTEGER	_PresentPointID3|INTEGER	_PresentPointID4|INTEGER	_PresentPointID5|INTEGER	_PresentPointID6|INTEGER	_UnionIconID|INTEGER	_MapID|INTEGER	_BromideRepute1|INTEGER	_BromideRepute2|INTEGER	_NpcPresentRepute1|INTEGER	_NpcPresentRepute2|INTEGER	_NpcPresentID1|INTEGER	_NpcPresentID2|INTEGER	_Mission|INTEGER	_BromideQuestName1|INTEGER	_BromideQuestName2|INTEGER	_PresentMailGID1|INTEGER	_PresentMailGID2|INTEGER	_PresentMailGID3|INTEGER	_PresentMailGID4|INTEGER	_PresentMailGID5|INTEGER	_PresentMailGID6|INTEGER
1	26	21	5101	5101	20000	0	2000	0	400261	0	96	0	0	0	0	0		3		3	1000154339	0	17	Picture018.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	2404	0	0	0	0	0	0	0	1	8	12000	0	6000	12000	400261	400236	174	0	0	1	0	0	0	0	0
2	28	13	5301	5301	15000	0	1500	0	400284	0	95	0	0	0	0	0		3		3	1000154340	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	0	0	4500	9000	400284	400293	174	0	0	2	0	0	0	0	0
3	32	6	7001	7001	18000	0	1800	0	400262	0	85	0	0	0	0	0		3		3	1000154341	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	0	0	5400	10800	400262	400219	174	0	0	3	0	0	0	0	0
4	33	0	5501	5501	16000	0	1600	0	400263	0	100	0	0	0	0	0		3		3	1000154342	0	16	Picture017.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	9600	0	4800	9600	400263	400212	174	0	0	4	0	0	0	0	0
5	46	9	8201	8201	16000	0	1600	0	400264	0	105	0	0	0	0	0		3		3	1000154343	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000000828	1000035172	0	0	0	0	0	0	2	11	0	0	4800	9600	400264	400228	481	0	0	5	0	0	0	0	0
6	45	11	7501	7501	16000	0	1600	0	400265	0	93	0	0	0	0	0		3		3	1000154344	0	5	Picture006.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000000828	0	0	0	0	0	0	0	2	11	9600	0	4800	9600	400265	400232	481	0	0	6	0	0	0	0	0
7	24	7	9101	9101	20000	0	2000	0	400266	0	83	0	0	0	0	0		3		3	1000154345	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	0	0	6000	12000	400266	400220	174	0	0	7	0	0	0	0	0
8	201	16	6301	6301	20000	0	2000	0	400267	0	99	0	0	0	0	0		3		3	1000154346	0	21	Picture022.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000051730	1000039082	0	0	0	0	0	0	0	3	23	12000	0	6000	0	400267	0	2900	0	0	8	0	0	0	0	0
9	252	29	7701	7701	9000	0	900	0	400291	0	90	0	0	0	0	0		3		3	1000154347	586	10	Picture011.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	0	0	0	0	0	0	0	0	11	0	0	2700	0	400291	0	481	1000054500	0	9	0	0	0	0	0
10	304	18	8401	8401	14000	0	1400	0	400268	0	87	0	0	0	0	0		3		3	1000154348	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	1000000828	0	0	0	0	0	0	0	1	11	0	0	4200	8400	400268	400242	481	0	0	10	0	0	0	0	0
