ROWID	_Activate|INTEGER	_CheckGroup|BOOLEAN	_Group|INTEGER	_Sequence|INTEGER	_MinLevel|INTEGER	_MaxLevel|INTEGER	_CheckMapID|INTEGER	_CheckMissionID|INTEGER	_Probabillity|INTEGER	_Grade|INTEGER	_StampIMG|INTEGER	_Orderer|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameID|INTEGER	_SubTitleNameIDParam|TEXT	_RequestType|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_AchieveCounterParam|INTEGER	_LimitType|INTEGER	_GoalID|INTEGER	_GoalIDParam|TEXT
1	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10348}	1000172340	{10348}	3	63	20	5630	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137503	0
2	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10125}	1000172340	{10125}	3	63	20	5631	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137504	0
3	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10126}	1000172340	{10126}	3	63	20	5632	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137505	0
4	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10367}	1000172340	{10367}	3	63	20	5633	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137506	0
5	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10078}	1000172340	{10078}	3	63	20	5634	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137507	0
6	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10076}	1000172340	{10076}	3	63	20	5635	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137508	0
7	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10335}	1000172340	{10335}	3	63	20	5636	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137509	0
8	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10381}	1000172340	{10381}	3	63	20	5637	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137510	0
9	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{9792}	1000172340	{9792}	3	63	20	5638	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138086	0
10	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10121}	1000172340	{10121}	3	63	20	5639	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138087	0
