ROWID	_Type|INTEGER	_Season|INTEGER	_Period|TEXT	_Order|INTEGER	_BoxKind|INTEGER	_Condition1|INTEGER	_Condition1_Value|INTEGER	_Condition2|INTEGER	_Condition2_Value|INTEGER	_Condition3|INTEGER	_Condition3_Value|INTEGER	_RewardMail|INTEGER	_MasterKeyItem|INTEGER
1	0	0	0	0	0	5	0	0	0	0	0	3489	805311194
2	0	0	0	0	1	1121	1	0	0	0	0	3490	805311194
3	0	0	0	0	2	346031104	10	0	0	0	0	3491	805311194
4	0	0	0	0	3	1073818175	10	0	0	0	0	3492	805311194
5	0	0	0	0	4	8	500	0	0	0	0	3493	805311194
50	0	0	0	0	1	1121	5	0	0	0	0	3910	805311194
51	0	0	0	0	1	19004	3	0	0	0	0	3911	805311194
52	0	0	0	0	1	1122	5	0	0	0	0	3912	805311194
53	0	0	0	0	1	19002	3	0	0	0	0	3946	805311194
54	0	0	0	0	1	1125	5	0	0	0	0	3913	805311194
60	0	0	0	0	1	1123	5	0	0	0	0	3914	805311194
62	0	0	0	0	1	1124	5	0	0	0	0	3944	805311194
64	0	0	0	0	1	1122	5	0	0	0	0	3945	805311194
10000	1	1	201707101000:201707141900	1	0	5	0	0	0	0	0	3489	805311194
10001	1	1	201707101000:201707141900	2	1	1121	1	0	0	0	0	3490	805311194
10002	1	1	201707101000:201707141900	3	2	346031104	10	0	0	0	0	3491	805311194
10003	1	1	201707101000:201707141900	4	3	1073818175	10	0	0	0	0	3492	805311194
10004	1	1	201707101000:201707141900	5	4	8	500	0	0	0	0	3493	805311194
10005	1	1	201707101000:201707141900	6	0	5	0	0	0	0	0	3489	805311194
10006	1	1	201707101000:201707141900	7	1	1121	1	1122	1	0	0	3490	805311194
10007	1	1	201707101000:201707141900	8	2	346031104	10	1610613041	10	0	0	3491	805311194
10008	1	1	201707101000:201707141900	9	3	1073818175	10	872915298	10	0	0	3492	805311194
10009	1	1	201707101000:201707141900	10	4	8	500	14	500	0	0	3493	805311194
10010	1	1	201707101000:201707141900	11	0	5	0	0	0	0	0	3489	805311194
10011	1	1	201707101000:201707141900	12	1	1121	1	1122	1	1123	1	3490	805311194
10012	1	1	201707101000:201707141900	13	2	346031104	10	1610613041	10	1610612820	10	3491	805311194
10013	1	1	201707101000:201707141900	14	3	1073818175	10	872915298	10	1107312640	10	3492	805311194
10014	1	1	201707101000:201707141900	15	4	8	500	14	500	0	0	3493	805311194
10015	1	2	201707171000:201707211900	1	0	5	0	0	0	0	0	3489	805311194
10016	1	2	201707171000:201707211900	2	1	1121	1	0	0	0	0	3490	805311194
10017	1	2	201707171000:201707211900	3	2	346031104	10	0	0	0	0	3491	805311194
10018	1	2	201707171000:201707211900	4	3	1073818175	10	0	0	0	0	3492	805311194
10019	1	2	201707171000:201707211900	5	4	8	500	0	0	0	0	3493	805311194
10020	1	2	201707171000:201707211900	6	0	5	0	0	0	0	0	3489	805311194
10021	1	2	201707171000:201707211900	7	1	1121	1	1122	1	0	0	3490	805311194
10022	1	2	201707171000:201707211900	8	2	346031104	10	1610613041	10	0	0	3491	805311194
10023	1	2	201707171000:201707211900	9	3	1073818175	10	872915298	10	0	0	3492	805311194
10024	1	2	201707171000:201707211900	10	4	8	500	14	500	0	0	3493	805311194
10025	1	2	201707171000:201707211900	11	0	5	0	0	0	0	0	3489	805311194
