ROWID	NextID|INTEGER	_SecondarySkillID|INTEGER	_SecondarySkillClass|INTEGER	_SecondarySkillLevel|INTEGER	_SecondarySkillExplanation|INTEGER	_SecondarySkillParam|INTEGER	_SecondarySkillExp|INTEGER
1101	1102	1101	1	1	1000084955	0	11000
1102	1103	1101	2	1	1000084956	0	40000
1103	1104	1101	3	1	1000084957	0	400000
1104	1105	1101	4	1	1000084958	0	800000
1105	1106	1101	5	1	1000084959	0	800000
1106	1107	1101	6	1	1000084960	0	1200000
1107	0	1101	7	1	1000084961	0	2000000
2101	2102	2101	1	1	1000084962	5	2560
2102	2103	2101	2	1	1000084963	5	14400
2103	2104	2101	3	1	1000084964	5	1440000
2104	2105	2101	4	1	1000084965	5	5760000
2105	2106	2101	5	1	1000084966	5	9360000
2106	2107	2101	6	1	1000084967	5	12000000
2107	0	2101	7	1	1000084968	5	20000000
3101	3102	3101	1	1	1000084969	0	864000
3102	3103	3101	2	1	1000084970	0	864000
3103	3104	3101	3	1	1000084971	0	864000
3104	3105	3101	4	1	1000084972	0	864000
3105	3106	3101	5	1	1000084973	0	864000
3106	3107	3101	6	1	1000084974	0	864000
3107	0	3101	7	1	1000084975	0	864000
