ROWID	_BubbleLimit|INTEGER	_StateEffectID|INTEGER	_ContentsID|TEXT	_JobID|INTEGER	_BubbleNameID|INTEGER	_BubbleExplanationID|INTEGER
100	10	0		41	1000108360	0
150	3	0		0	1000108361	0
101	20	0		49	1000107729	0
201	5	0		0	1000108363	0
198	1	0		0	0	0
199	1	0		0	0	0
203	100	0		30	1000079000	0
216	1	0		0	1000079000	0
204	5	0		0	1000108365	0
206	20	0		55	1000108366	0
207	5	0		0	1000108367	0
208	30	0		75	1000082765	0
209	50	0		29	1000108368	0
217	10	23426		0	1000114312	0
218	1	0		0	1000172852	0
220	1	0		0	1000079858	0
221	1	0		0	1000079861	0
222	1	0		0	1000079862	0
223	1	0		0	1000108371	0
224	20	810		23	1000073390	0
226	10	0		0	1000098960	0
227	10	0		0	1000108372	0
228	10	0		0	1000098962	0
229	10	0		57	1000108373	0
230	10	0		80	1000108374	0
231	5	0		0	1000108375	0
232	30	0		37	1000108376	0
202	5	0		0	1000108364	0
233	3	0		35	1000108377	0
234	50	0		36	1000108378	0
235	50	0		24	1000108379	0
238	1	0		0	1000108380	0
205	50	0		12	118011	0
241	50	0		0	118011	0
237	100	0		31	1000108381	0
239	100	0		32	1000108381	0
240	10	0		0	1000172665	0
242	100	0		82	1000108814	0
246	20	0		0	1000095832	0
243	1	0		0	1000109395	0
244	1	0		0	1000109396	0
250	30	0		56	1000113535	0
251	40	0		84	1000113536	0
252	10	22002		0	1000114311	0
200	20	901		72	1000108374	0
215	1	0		0	1000114313	0
300	1	0		0	1000061453	0
301	1	0		0	1000117428	0
302	1	0		0	1000117568	0
303	15	0		64	1000117429	0
304	1	0		0	1000117430	0
350	30	0		87	1000117478	0
351	5	22020		0	1000117159	0
352	1	0		0	1000117160	0
353	30	22021		0	1000117161	0
354	1	0		0	1000117431	0
360	10	0		88	1000119663	0
361	1	0		0	1000120177	0
362	1	0		0	1000120906	0
363	6	0		0	1000121556	0
364	10	0		0	1000122375	0
365	20	0		91	1000177099	0
366	40	0		0	1000122243	0
367	40	0		0	1000122249	0
368	1	0		0	1000124679	0
369	1	0		0	1000124680	0
370	1	0		0	1000124681	0
371	1	0		0	1000124682	0
372	1	0		0	1000124683	0
373	1	0		0	1000022281	0
374	1	0		0	1000128149	0
375	1	23150		0	1000128150	0
376	5	23206		93	1000129606	0
377	15	0		94	1000129607	0
378	1	0		0	1000129747	0
379	1	0		0	1000129797	0
380	1	0		0	1000129798	0
381	1	0		0	1000130465	0
382	3	0		0	1000128836	0
395	60	0		96	1000143687	0
396	6	23256		0	1000131822	0
397	50	0		97	1000143535	0
398	1	0		0	0	0
399	4	0		0	0	0
400	3	0		38	1000144555	0
401	100	0		98	1000149215	0
402	10	0		0	1000149913	0
403	100	0		69	1000152888	0
404	1	0		0	0	0
405	1	0		0	0	0
406	1	0		0	0	0
407	1	0		0	0	0
408	1	0		0	0	0
409	1	0		0	0	0
410	1	0		0	0	0
411	1	0		0	0	0
412	1	0		0	0	0
413	1	0		0	0	0
414	1	0		0	0	0
415	1	0		0	0	0
416	1	0		0	0	0
417	1	0		0	0	0
418	100	0		48	1000154291	0
419	1	0		0	0	0
433	10	0		0	0	0
420	1	0		0	0	0
421	2	0		47	1000160341	0
422	15	0		44	1000161697	0
423	1	0		0	1000161669	0
424	30	0		43	1000109638	0
425	1	0		0	1000125154	0
426	1	0		0	0	0
427	10	0		102	1000163859	0
428	3	0		0	1000163095	0
429	20	0		103	1000122033	0
430	10	0		0	1000167826	0
431	50	0		79	1000108369	0
432	1	0		0	1000168926	0
434	3	0		0	1000170094	0
435	1	0		0	0	0
436	1	0		0	0	0
439	1	0		63	1000176538	0
