ROWID	_NeedJob|INTEGER	_IconIndex|INTEGER	_ConditionType1|INTEGER	_ConditionType2|INTEGER	_ConditionType3|INTEGER	_ConditionType4|INTEGER	_ConditionType5|INTEGER	_ConditionFactor1|TEXT	_ConditionFactor2|TEXT	_ConditionFactor3|TEXT	_ConditionFactor4|TEXT	_ConditionFactor5|TEXT	_BubbleType1|INTEGER	_BubbleType2|INTEGER	_BubbleType3|INTEGER	_BubbleType4|INTEGER	_BubbleType5|INTEGER	_BubbleFactor1|TEXT	_BubbleFactor2|TEXT	_BubbleFactor3|TEXT	_BubbleFactor4|TEXT	_BubbleFactor5|TEXT	_ContentsID|TEXT
1	0	81	5	6	0	0	0	3301	3217				1	0	0	0	0	100;90000					
2	0	0	1	3	0	0	0	3302	100;2				2	0	0	0	0	100;2					
3	0	0	5	4	0	0	0	3301	100				3	0	0	0	0	100;90000					
4	0	81	5	2	0	0	0	3301	3021				1	0	0	0	0	100;90000					
5	0	81	5	6	0	0	0	3301	3221				1	0	0	0	0	100;90000					
555	0	81	5	6	0	0	0	3301	3304				1	0	0	0	0	100;90000					
6	0	81	5	7	0	0	0	3301	3220				1	0	0	0	0	100;90000					
81	0	81	5	1	0	0	0	3304	3221				1	1	1	1	1	100;90000	100;90000	100;90000	100;90000	100;90000	
82	0	81	1	0	0	0	0	3221					1	1	1	1	1	100;90000	100;90000	100;90000	100;90000	100;90000	
83	0	0	1	0	0	0	0	3218					2	0	0	0	0	100;1					
84	0	0	1	0	0	0	0	3219					2	0	0	0	0	100;1					
7	0	100	5	9	0	0	0	78018	78018				1	0	0	0	0	150;30000					
8	0	100	1	3	0	0	0	78018	150;3				2	0	0	0	0	150;3					
10	49	109	1	0	0	0	0	4407					1	0	0	0	0	101;60000					
12	49	109	1	0	0	0	0	4409					1	0	0	0	0	101;60000					
14	49	109	1	0	0	0	0	4501					1	0	0	0	0	101;60000					
15	49	109	1	0	0	0	0	4502					1	0	0	0	0	101;60000					
16	49	109	1	0	0	0	0	4503					1	0	0	0	0	101;60000					
17	49	109	1	0	0	0	0	4414					1	0	0	0	0	101;60000					
18	49	109	1	0	0	0	0	4415					1	0	0	0	0	101;60000					
19	49	109	1	0	0	0	0	4417					1	0	0	0	0	101;60000					
20	49	109	1	0	0	0	0						1	0	0	0	0	101;60000					
21	49	109	1	0	0	0	0	4551					1	0	0	0	0	101;60000					
22	49	109	1	0	0	0	0	4552					1	0	0	0	0	101;60000					
24	49	109	5	1	11	0	0	4412	4407	1			1	0	0	0	0	101;60000					
26	49	109	5	1	11	0	0	4412	4409	1			1	0	0	0	0	101;60000					
28	49	109	5	1	11	0	0	4412	4501	1			1	0	0	0	0	101;60000					
29	49	109	5	1	11	0	0	4412	4502	1			1	0	0	0	0	101;60000					
30	49	109	5	1	11	0	0	4412	4503	1			1	0	0	0	0	101;60000					
31	49	109	5	1	11	0	0	4419	4414	1			1	0	0	0	0	101;60000					
32	49	109	5	1	11	0	0	4419	4415	1			1	0	0	0	0	101;60000					
33	49	109	5	1	11	0	0	4419	4417	1			1	0	0	0	0	101;60000					
34	49	109	5	1	11	0	0	4419		1			1	0	0	0	0	101;60000					
35	49	109	5	1	11	0	0	4419	4551	1			1	0	0	0	0	101;60000					
36	49	109	5	1	11	0	0	4419	4552	1			1	0	0	0	0	101;60000					
42	30	147	15	0	0	0	0	101					1	0	0	0	0	101;60000					
37	49	109	5	4	0	0	0	4403	101				3	0	0	0	0	101;90001					
38	49	109	1	0	0	0	0	4501					1	0	0	0	0	101;60000					
39	49	109	1	0	0	0	0	4501					1	0	0	0	0	101;60000					
40	49	109	1	0	0	0	0	4501					1	0	0	0	0	101;60000					
41	49	109	1	0	0	0	0	4501					1	0	0	0	0	101;60000					
50	49	109	5	1	11	0	0	4504	4407	1			1	0	0	0	0	101;60000					
51	51	109	1	0	0	0	0	4553					1	0	0	0	0	101;60000					
52	49	109	5	1	11	0	0	4419	4553	1			1	0	0	0	0	101;60000					
53	5	89	1	11	0	0	0	7301	1				1	0	0	0	0	202;60000					
54	46	89	1	3	0	0	0	4202	202;2				2	0	0	0	0	202;2					
55	46	89	1	3	0	0	0	4204	202;2				2	0	0	0	0	202;2					
56	46	89	1	3	0	0	0	4301	202;1				2	0	0	0	0	202;1					
57	46	89	1	3	0	0	0	4308	202;1				2	0	0	0	0	202;1					
58	46	89	1	3	0	0	0	4305	202;2				2	0	0	0	0	202;2					
59	46	89	1	3	0	0	0	4306	202;2				2	0	0	0	0	202;2					
60	46	89	1	3	0	0	0	4308	202;1				2	0	0	0	0	202;1					
66	5	89	1	11	0	0	0	4310	1				1	1	0	0	0	202;60000	202;60000				
67	5	89	1	11	0	0	0	4311	1				1	0	0	0	0	202;60000					
61	72	186	15	0	0	0	0	200					1	5	0	0	0	200;60000	200;10;7251;0				
62	72	186	16	0	0	0	0	200					2	0	0	0	0	200;1					
63	72	186	1	0	0	0	0	7028					1	1	5	0	0	200;60000	200;60000	200;10;7251;0			
64	72	186	1	0	0	0	0	7031					1	1	5	0	0	200;60000	200;60000	200;10;7251;0			
65	72	186	1	0	0	0	0	7035					1	5	0	0	0	200;60000	200;10;7251;0				
85	55	147	5	17	0	0	0	5307	5201;5203;5204;5205;5206;5208;5302;5303;5304;5305;5306;5308				1	5	0	0	0	206;60000	206;20;5409;20				
80	30	147	5	17	0	0	0	1356	1027;1208;1209;1210;1203;1211;1352;1353;1354;1355;1356;1358				1	5	0	0	0	203;30000	203;20;1222;20				
86	30	147	15	0	0	0	0	203					1	5	0	0	0	203;60000	203;20;1222;20				
87	30	147	16	0	0	0	0	203					1	5	0	0	0	203;60000	203;20;1222;20				
90	25	147	5	1	0	0	0	505	412				1	1	1	1	1	205;90000	205;90000	205;90000	205;90000	205;90000	
91	25	147	5	15	0	0	0	501	205				1	0	0	0	0	205;90000					
92	25	147	1	15	0	0	0	508	205				1	0	0	0	0	205;90000					
93	25	147	1	15	0	0	0	509	205				1	0	0	0	0	205;90000					
94	25	147	1	15	0	0	0	510	205				1	0	0	0	0	205;90000					
95	25	147	5	1	0	0	0	501	412				5	0	0	0	0	205;50;422;50					
96	25	147	1	0	0	0	0	503					1	1	1	1	1	205;90000	205;90000	205;90000	205;90000	205;90000	
97	25	147	5	1	0	0	0	511	503				1	1	1	1	1	205;90000	205;90000	205;90000	205;90000	205;90000	
101	0	133	1	11	0	0	0	95245	1				1	0	0	0	0	201;60000					
104	0	133	1	11	0	0	0	95248	1				2	0	0	0	0	201;1					
105	0	133	1	11	0	0	0	95249	1				2	0	0	0	0	201;1					
106	0	133	1	11	0	0	0	95250	1				1	0	0	0	0	201;60000					
111	49	109	5	1	11	0	0	4557	4415	1			1	0	0	0	0	101;60000					
112	49	109	5	1	11	0	0	4557	4552	1			1	0	0	0	0	101;60000					
115	0	133	1	11	0	0	0	77404	1				1	0	0	0	0	204;60000					
116	0	133	1	11	0	0	0	77408	1				1	0	0	0	0	204;60000					
117	0	133	1	11	0	0	0	77403	1				2	0	0	0	0	204;5					
120	0	133	1	11	0	0	0	77422	1				1	0	0	0	0	207;60000					
121	0	133	1	11	0	0	0	77423	1				1	0	0	0	0	207;60000					
122	0	133	1	11	0	0	0	77424	1				2	0	0	0	0	207;1					
123	0	133	1	11	0	0	0	77425	1				2	0	0	0	0	207;1					
124	0	133	1	11	0	0	0	77427	1				2	0	0	0	0	207;1					
150	75	147	1	11	0	0	0	7506	1				1	1	1	1	1	208;180000	208;180000	208;180000	208;180000	208;180000	
151	75	147	1	11	0	0	0	7506	1				1	1	1	1	1	208;180000	208;180000	208;180000	208;180000	208;180000	
152	75	147	16	0	0	0	0	208					2	0	0	0	0	208;1					
153	75	147	1	11	0	0	0	7530	1				2	0	0	0	0	208;1					
154	75	147	5	4	0	0	0	7515	208				3	0	0	0	0	208;7606					
155	75	147	5	17	0	0	0	7529	7501;7502;7503;7504;7505;7506;7507;7508;7509;7510;7511;7512;7513;40				1	0	0	0	0	208;180000					
156	75	147	5	17	0	0	0	7529	7601;7602;7603;7604;7605;7608;7611;7612;7613;41				1	0	0	0	0	208;180000					
157	75	147	5	17	0	0	0	7529	7516;7519;7520;7530				1	0	0	0	0	208;180000					
158	75	147	1	11	0	0	0	7507	0				2	0	0	0	0	208;1					
159	75	147	18	11	0	0	0	7	1				2	0	0	0	0	208;10					
160	75	147	15	0	0	0	0	208					1	1	1	1	1	208;60000	208;60000	208;60000	208;60000	208;60000	
161	75	147	1	11	0	0	0	7505	1				1	1	0	0	0	208;180000	208;180000				
162	75	147	1	11	0	0	0	7511	1				1	1	0	0	0	208;180000	208;180000				
163	75	147	1	11	0	0	0	7513	1				1	1	0	0	0	208;180000	208;180000				
200	29	147	5	17	0	0	0	1305	1220				1	0	0	0	0	209;60000					
201	29	147	1	0	0	0	0	1230					2	0	0	0	0	209;30					
202	29	147	5	17	0	0	0	1306	1207				1	0	0	0	0	209;60000					
203	29	147	5	1	0	0	0	1302	1201				5	0	0	0	0	209;30;1231;0					
204	29	147	5	17	0	0	0	1304	1202				1	0	0	0	0	209;60000					
205	29	147	5	17	0	0	0	1302	1201				1	0	0	0	0	209;60000					
206	29	147	5	17	0	0	0	1307	1230				1	0	0	0	0	209;60000					
207	29	147	15	0	0	0	0	209					1	0	0	0	0	209;60000					
208	23	147	20	5	0	0	0	500	307				1	0	0	0	0	224;5000					
209	23	147	5	4	0	0	0	307	224				3	0	0	0	0	224;311					
210	9	147	13	0	0	0	0	7711					1	5	0	0	0	211;600000	211;3;7722;3;7711				
211	77	147	15	0	0	0	0	210					1	1	0	0	0	210;600000	210;600000				
212	77	147	19	15	0	0	0	7739;0	210				1	1	0	0	0	210;600000	210;600000				
213	77	147	19	15	0	0	0	7740;0	210				1	1	0	0	0	210;600000	210;600000				
214	77	147	19	15	0	0	0	7774;0	210				1	1	0	0	0	210;600000	210;600000				
215	77	147	19	15	0	0	0	7776;0	210				1	1	0	0	0	210;600000	210;600000				
216	77	147	5	0	0	0	0	7739					0	0	0	0	0						
217	77	147	5	0	0	0	0	7740					0	0	0	0	0						
218	77	147	5	19	1	0	0	7739	7774;0	7742			5	0	0	0	0	210;30;7775;30;7739					
219	77	147	5	19	1	0	0	7740	7776;0	7742			5	0	0	0	0	210;30;7777;30;7740					
220	77	147	5	1	0	0	0	7739	7742				5	0	0	0	0	210;30;7774;30;7739					
221	77	147	5	1	0	0	0	7740	7742				5	0	0	0	0	210;30;7776;30;7740					
222	77	147	1	0	0	0	0	7734					1	1	0	0	0	210;600000	210;600000				
223	77	147	5	4	0	0	0	7724	210				3	0	0	0	0	210;7771					
224	77	147	5	1	0	0	0	7763	7736				1	1	0	0	0	210;600000	210;600000				
225	77	147	5	1	0	0	0	7763	7723				1	1	0	0	0	210;600000	210;600000				
226	77	147	5	1	0	0	0	7753	7725				1	1	0	0	0	210;600000	210;600000				
227	77	147	5	1	0	0	0	7753	7728				1	1	0	0	0	210;600000	210;600000				
228	77	147	5	1	0	0	0	7753	7731				1	1	0	0	0	210;600000	210;600000				
235	79	147	5	11	1	0	0	7759	1	7742			1	1	1	0	0	210;600000	210;600000	210;600000			
236	78	147	5	11	1	0	0	7769	1	7742			1	1	1	1	1	210;600000	210;600000	210;600000	210;600000	210;600000	
