ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
93080	82000	1	0	-0.14649625	0	1200.36048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_RightPunch	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	1.0	true	0	0	0	0	0	0.0	0.0
93081	82001	1	0	0.8213525	0	1640.8930032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_RisingSlash_LV2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	2.0	true	0	0	0	0	0	0.0	0.0
93082	82002	1	0	0.784475	0	2098.212864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_ImpactWave_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	1.0	true	0	0	0	0	0	0.0	0.0
93083	82003	1	0	0.16655	0	2581.172352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_CircleBreak	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	2.0	true	0	0	0	0	0	0.0	0.0
93084	82004	1	0	60	0	0	0	0	0	0	0	0	0	0	2600	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Tumble_Left	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	2	0.2	false	0	0	0	0	0	0.0	0.0
93085	82005	1	0	0.5	0	0	0	0	0	0	0	0	0	0	12800	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_WakeUpAttack	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	0.1	false	0	0	0	0	0	0.0	0.0
93086	82006	1	0	0.5	0	0	0	0	0	0	0	0	0	0	14400	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Jump_Kick	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	1.0	true	0	0	0	0	0	0.0	0.0
93087	82007	1	0	3	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_Relieve	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	0.5	true	0	0	0	0	0	0.0	0.0
93088	82008	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_Dash	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	3	2	2.0	true	0	0	0	0	0	0.0	0.0
93089	82009	1	0	0.353	0	1451.95864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Skill_DashKick	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	2.0	true	0	0	0	0	0	0.0	0.0
