ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1073997889	4001	1	0	-0.59	0	1	0	-0.59	0	1	0	0	0	1	5000	0	0	0	0	0	0	1000094787	3,41	0	0											Skill_QuickShot										0	0	0.0	0.0	0	4	2.0	true	0	0	0	0	0	-0.5875	-0.5875
1073997890	4001	2	0	-0.58	0	3	0	-0.58	0	3	0	0	0	4	5000	0	0	0	0	0	0	1000094787	3,47	0	0											Skill_QuickShot										0	0	0.0	0.0	1	4	2.0	true	0	0	0	0	0	-0.5325	-0.5325
1073997891	4001	3	0	-0.57	0	5	0	-0.57	0	5	0	0	0	7	5000	0	0	0	0	0	0	1000094787	3,52	0	0											Skill_QuickShot										0	0	0.0	0.0	1	5	2.0	true	0	0	0	0	0	-0.4775	-0.4775
1073997892	4001	4	0	-0.56	0	6	0	-0.56	0	6	0	0	0	10	5000	0	0	0	0	0	0	1000094787	3,58	0	0											Skill_QuickShot										0	0	0.0	0.0	1	5	2.0	true	0	0	0	0	0	-0.4225	-0.4225
1073997893	4001	5	0	-0.55	0	9	0	-0.55	0	9	0	0	0	13	5000	0	0	0	0	0	0	1000094787	3,63	0	0											Skill_QuickShot										0	0	0.0	0.0	1	6	2.0	true	0	0	0	0	0	-0.3675	-0.3675
1073997894	4001	6	0	-0.5	0	19	0	-0.5	0	19	0	0	0	16	5000	0	0	0	0	0	0	1000094787	3,69	0	0											Skill_QuickShot										0	0	0.0	0.0	1	7	2.0	true	0	0	0	0	0	-0.3125	-0.3125
1073997895	4001	7	0	-0.48	0	21	0	-0.48	0	21	0	0	0	19	5000	0	0	0	0	0	0	1000094787	3,74	0	0											Skill_QuickShot										0	0	0.0	0.0	1	7	2.0	true	0	0	0	0	0	-0.2575	-0.2575
1073997896	4001	8	0	-0.47	0	30	0	-0.47	0	30	0	0	0	22	5000	0	0	0	0	0	0	1000094787	3,80	0	0											Skill_QuickShot										0	0	0.0	0.0	1	8	2.0	true	0	0	0	0	0	-0.2025	-0.2025
1073997897	4001	9	0	-0.46	0	80	0	-0.46	0	80	0	0	0	25	5000	0	0	0	0	0	0	1000094787	3,85	0	0											Skill_QuickShot										0	0	0.0	0.0	1	8	2.0	true	0	0	0	0	0	-0.1475	-0.1475
1073997898	4001	10	0	-0.45	0	88	0	-0.45	0	88	0	0	0	28	5000	0	0	0	0	0	0	1000094787	3,91	0	0											Skill_QuickShot										0	0	0.0	0.0	1	9	2.0	true	0	0	0	0	0	-0.0925	-0.0925
1073997899	4001	11	0	-0.4	0	124	0	-0.4	0	124	0	0	0	31	5000	0	0	0	0	0	0	1000094787	3,96	0	0											Skill_QuickShot										0	0	0.0	0.0	1	10	2.0	true	0	0	0	0	0	-0.0375	-0.0375
1073997900	4001	12	0	-0.39	0	347	0	-0.39	0	347	0	0	0	34	5000	0	0	0	0	0	0	1000094787	3,102	0	0											Skill_QuickShot										0	0	0.0	0.0	1	10	2.0	true	0	0	0	0	0	0.0175	0.0175
1073997901	4001	13	0	-0.38	0	416	0	-0.38	0	416	0	0	0	37	5000	0	0	0	0	0	0	1000094787	3,107	0	0											Skill_QuickShot										0	0	0.0	0.0	1	11	2.0	true	0	0	0	0	0	0.0725	0.0725
1073997902	4001	14	0	-0.37	0	495	0	-0.37	0	495	0	0	0	40	5000	0	0	0	0	0	0	1000094787	3,113	0	0											Skill_QuickShot										0	0	0.0	0.0	1	11	2.0	true	0	0	0	0	0	0.1275	0.1275
1073997903	4001	15	0	-0.36	0	1044	0	-0.36	0	1044	0	0	0	43	5000	0	0	0	0	0	0	1000094787	3,118	0	0											Skill_QuickShot										0	0	0.0	0.0	1	12	2.0	true	0	0	0	0	0	0.1825	0.1825
