ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
106213	2366	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Attack_Punch	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	1	0	0	0	0	0.0	0.0
106214	2367	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	Attack_Punch_B	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	1	0	0	0	0	0.0	0.0
1090775105	4001	1	0	-0.74375	0	1.4	0	-0.74375	0	1.4	0	0	0	1	5000	0	0	0	0	0	0	1000094787	3,26	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	4	2.0	true	1	0	0	0	0	-0.7431	-0.7431
1090775106	4001	2	0	-0.7275	0	2.2	0	-0.7275	0	2.2	0	0	0	4	5000	0	0	0	0	0	0	1000094787	3,27	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	2.0	true	1	0	0	0	0	-0.72648	-0.72648
1090775107	4001	3	0	-0.72125	0	3	0	-0.72125	0	3	0	0	0	7	5000	0	0	0	0	0	0	1000094787	3,28	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.71985	-0.71985
1090775108	4001	4	0	-0.715	0	4.4	0	-0.715	0	4.4	0	0	0	10	5000	0	0	0	0	0	0	1000094787	3,29	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.71295	-0.71295
1090775109	4001	5	0	-0.69875	0	4.6	0	-0.69875	0	4.6	0	0	0	13	5000	0	0	0	0	0	0	1000094787	3,30	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	2.0	true	1	0	0	0	0	-0.69661	-0.69661
1090775110	4001	6	0	-0.6875	0	7.6	0	-0.6875	0	7.6	0	0	0	16	5000	0	0	0	0	0	0	1000094787	3,32	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	2.0	true	1	0	0	0	0	-0.68396	-0.68396
1090775111	4001	7	0	-0.675	0	9.4	0	-0.675	0	9.4	0	0	0	19	5000	0	0	0	0	0	0	1000094787	3,33	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	2.0	true	1	0	0	0	0	-0.67062	-0.67062
1090775112	4001	8	0	-0.65875	0	12	0	-0.65875	0	12	0	0	0	22	5000	0	0	0	0	0	0	1000094787	3,35	0	0	0	0	0	0	0	0	0	0	0	0	Skill_QuickShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	8	2.0	true	1	0	0	0	0	-0.65315	-0.65315
