ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1073805889	1001	1	0	-0.32515	0	2.00552	0	0	0	0	0	0	0	1	5000	200	0	0	0	0	0	1000105861	68	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	4	0.1	true	0	0	0	0	0	-0.3175	-0.3175
1073805890	1001	2	0	-0.307	0	4.4462	0	0	0	0	0	0	0	4	5000	200	0	0	0	0	0	1000105861	77	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	0.1	true	0	0	0	0	0	-0.2265	-0.2265
1073805891	1001	3	0	-0.28885	0	9.28972	0	0	0	0	0	0	0	7	5000	200	0	0	0	0	0	1000105861	86	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	0.1	true	0	0	0	0	0	-0.1355	-0.1355
1073805892	1001	4	0	-0.2707	0	13.47104	0	0	0	0	0	0	0	10	5000	200	0	0	0	0	0	1000105861	96	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	0.1	true	0	0	0	0	0	-0.0445	-0.0445
1073805893	1001	5	0	-0.25255	0	20.50928	0	0	0	0	0	0	0	13	5000	200	0	0	0	0	0	1000105861	105	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	0.1	true	0	0	0	0	0	0.0465	0.0465
1073805894	1001	6	0	-0.1684	0	39.8266	0	0	0	0	0	0	0	16	5000	200	0	0	0	0	0	1000105861	114	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	0.1	true	0	0	0	0	0	0.1375	0.1375
1073805895	1001	7	0	-0.15025	0	48.3406	0	0	0	0	0	0	0	19	5000	200	0	0	0	0	0	1000105861	123	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	0.1	true	0	0	0	0	0	0.2285	0.2285
1073805896	1001	8	0	-0.1321	0	67.7336	0	0	0	0	0	0	0	22	5000	200	0	0	0	0	0	1000105861	132	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	8	0.1	true	0	0	0	0	0	0.3195	0.3195
1073805897	1001	9	0	-0.11395	0	179.9292	0	0	0	0	0	0	0	25	5000	200	0	0	0	0	0	1000105861	141	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	0.1	true	0	0	0	0	0	0.4105	0.4105
1073805898	1001	10	0	-0.0958	0	205.6604	0	0	0	0	0	0	0	28	5000	200	0	0	0	0	0	1000105861	150	0	0	0	0	0	0	0	0	0	0	0	0	Skill_TwinShot	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	0.1	true	0	0	0	0	0	0.5015	0.5015
