ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
73515	6001	1	0	0.21473	0	3.609936	0	3	30000	0	0	0	0	1	6000	0	0	0	0	0	0	1000094874	120	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	4	1.0	true	0	0	0	0	0	0.2	0.2
73516	6001	2	0	0.2474	0	8.00316	0	3	30000	0	0	0	0	4	6000	0	0	0	0	0	0	1000094874	136	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	0	0	0	0	0	0.36	0.36
73517	6001	3	0	0.28007	0	16.721496	0	3	30000	0	0	0	0	7	6000	0	0	0	0	0	0	1000094874	152	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	0	0	0	0	0	0.52	0.52
73518	6001	4	0	0.31274	0	24.247872	0	3	30000	0	0	0	0	10	6000	0	0	0	0	0	0	1000094874	168	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	0	0	0	0	0	0.68	0.68
73519	6001	5	0	0.34541	0	36.916704	0	3	30000	0	0	0	0	13	6000	0	0	0	0	0	0	1000094874	184	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	1.0	true	0	0	0	0	0	0.84	0.84
73520	6001	6	0	0.49688	0	71.68788	0	3	30000	0	0	0	0	16	6000	0	0	0	0	0	0	1000094875	200,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	1.0	true	0	0	0	0	0	1.0	1.0
73521	6001	7	0	0.52955	0	87.01308	0	3	30000	0	0	0	0	19	6000	0	0	0	0	0	0	1000094875	216,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	1.0	true	0	0	0	0	0	1.16	1.16
73522	6001	8	0	0.56222	0	121.92048	0	3	30000	0	0	0	0	22	6000	0	0	0	0	0	0	1000094875	232,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	8	1.0	true	0	0	0	0	0	1.32	1.32
73523	6001	9	0	0.59489	0	323.87256	0	3	30000	0	0	0	0	25	6000	0	0	0	0	0	0	1000094875	248,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	1.0	true	0	0	0	0	0	1.48	1.48
73524	6001	10	0	0.62756	0	370.18872	0	3	30000	0	0	0	0	28	6000	0	0	0	0	0	0	1000094875	264,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	1.0	true	0	0	0	0	0	1.64	1.64
