ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
75970	6001	1	0	0.128838	0	0.32489424	0	3	30000	0	0	0	0	1	6000	0	0	0	0	0	0	1000094874	113	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	2	1.0	true	1	0	0	0	0	0.12898234	0.12898234
75971	6001	2	0	0.14844	0	0.7202844	0	3	30000	0	0	0	0	4	6000	0	0	0	0	0	0	1000094874	115	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	1.0	true	1	0	0	0	0	0.14875999	0.14875999
75972	6001	3	0	0.168042	0	1.50493464	0	3	30000	0	0	0	0	7	6000	0	0	0	0	0	0	1000094874	117	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.16871056	0.16871056
75973	6001	4	0	0.187644	0	2.18230848	0	3	30000	0	0	0	0	10	6000	0	0	0	0	0	0	1000094874	119	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.18861349	0.18861349
75974	6001	5	0	0.207246	0	3.32250336	0	3	30000	0	0	0	0	13	6000	0	0	0	0	0	0	1000094874	121	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.20872201	0.20872201
75975	6001	6	0	0.298128	0	6.4519092	0	3	30000	0	0	0	0	16	6000	0	0	0	0	0	0	1000094875	130,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.30099425	0.30099425
75976	6001	7	0	0.31773	0	7.8311772	0	3	30000	0	0	0	0	19	6000	0	0	0	0	0	0	1000094875	132,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.32120898	0.32120898
75977	6001	8	0	0.337332	0	10.9728432	0	3	30000	0	0	0	0	22	6000	0	0	0	0	0	0	1000094875	134,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.34220666	0.34220666
75978	6001	9	0	0.356934	0	29.1485304	0	3	30000	0	0	0	0	25	6000	0	0	0	0	0	0	1000094875	137,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.36988315	0.36988315
75979	6001	10	0	0.376536	0	33.3169848	0	3	30000	0	0	0	0	28	6000	0	0	0	0	0	0	1000094875	139,1	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.39133698	0.39133698
75980	6001	11	0	0.467418	0	45.36872208	0	3	30000	0	0	0	0	31	6000	0	0	0	0	0	0	1000094875	149,2	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	3	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.4875729	0.4875729
75981	6001	12	0	0.48702	0	114.73670736	0	3	30000	0	0	0	0	34	6000	0	0	0	0	0	0	1000094875	154,2	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	3	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.53799146	0.53799146
75982	6001	13	0	0.506622	0	137.58658056	0	3	30000	0	0	0	0	37	6000	0	0	0	0	0	0	1000094875	157,2	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	3	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	1.0	true	1	0	0	0	0	0.56774443	0.56774443
75983	6001	14	0	0.526224	0	163.18579464	0	3	30000	0	0	0	0	40	6000	0	0	0	0	0	0	1000094875	160,2	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SpeedyCut	3	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	1.0	true	1	0	0	0	0	0.5987188	0.5987188
