ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1073933953	3002	1	0	-0.1225	0	5.38704	0	-0.29	0	5	0	0	0	1	10000	0	0	0	0	0	0	1000161701	80,80,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	2.0	true	0	0	0	0	0	-0.205	-0.2049
1073933954	3002	2	0	-0.0927999999999999	0	12.6936	0	-0.27	0	11	0	0	0	4	10000	0	0	0	0	0	0	1000161701	93,93,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	-0.07435	-0.07425
1073933955	3002	3	0	-0.0631	0	21.79584	0	-0.25	0	18	0	0	0	7	10000	0	0	0	0	0	0	1000161701	106,106,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.0621	0.0622
1073933956	3002	4	0	-0.0334	0	29.35008	0	-0.22	0	24	0	0	0	10	10000	0	0	0	0	0	0	1000161701	120,120,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.20435	0.20445
1073933957	3002	5	0	-0.00369999999999993	0	39.19536	0	-0.2	0	32	0	0	0	13	10000	0	0	0	0	0	0	1000161701	135,135,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.3524	0.3525
1073933958	3002	6	0	0.188	0	59.41224	0	-0.04	0	48	0	0	0	16	10000	0	0	0	0	0	0	1000161702	151,452	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.50625	0.50635
1073933959	3002	7	0	0.2177	0	68.94792	0	-0.02	0	56	0	0	0	19	10000	0	0	0	0	0	0	1000161702	167,500	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.6659	0.666
1073933960	3002	8	0	0.2474	0	88.42176	0	0	0	71	0	0	0	22	10000	0	0	0	0	0	0	1000161702	183,549	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.83135	0.83145
1073933961	3002	9	0	0.2771	0	219.87792	0	0.03	0	176	0	0	0	25	10000	0	0	0	0	0	0	1000161702	200,601	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.0026	1.0027
1073933962	3002	10	0	0.3068	0	243.036	0	0.05	0	195	0	0	0	28	10000	0	0	0	0	0	0	1000161702	218,654	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.17965	1.17975
1073933963	3002	11	0	0.4985	0	304.77024	0	0.2	0	244	0	0	0	31	10000	0	0	0	0	0	0	1000161702	236,709	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.3625	1.3626
1073933964	3002	12	0	0.5282	0	720.37728	0	0.23	0	577	0	0	0	34	10000	0	0	0	0	0	0	1000161702	255,765	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.55115	1.55125
1073933965	3002	13	0	0.5579	0	843.90768	0	0.25	0	676	0	0	0	37	10000	0	0	0	0	0	0	1000161702	275,824	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.7456	1.7457
1073933966	3002	14	0	0.5876	0	981.18432	0	0.28	0	785	0	0	0	40	10000	0	0	0	0	0	0	1000161702	295,884	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.94585	1.94595
1073933967	3002	15	0	0.6173	0	1999.7064	0	0.3	0	1600	0	0	0	43	10000	0	0	0	0	0	0	1000161702	315,946	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	2.1519	2.152
1073933968	3002	16	0	0.809	0	2866.896	0	0.45	0	2294	0	0	0	46	10000	0	0	0	0	0	0	1000161702	336,1009	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	2.36375	2.36385
1073933969	3002	17	0	0.8387	0	3198.168	0	0.48	0	2559	0	0	0	49	10000	0	0	0	0	0	0	1000161702	358,1074	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	2.5814	2.5815
1073933970	3002	18	0	0.8684	0	3532.536	0	0.5	0	2827	0	0	0	52	10000	0	0	0	0	0	0	1000161702	380,1141	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	2.80485	2.80495
1073933971	3002	19	0	0.8981	0	3869.226	0	0.52	0	3096	0	0	0	55	10000	0	0	0	0	0	0	1000161702	403,1210	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	3.0341	3.0342
1073933972	3002	20	0	0.9278	0	4209.012	0	0.55	0	3368	0	0	0	58	10000	0	0	0	0	0	0	1000161702	427,1281	0	0											Skill_LightningUpper_In										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	3.26915	3.26925
