ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1090711169	3002	1	0	-0.56125	0	1.2928896	0	-0.645	0	1.2	0	0	0	1	10000	0	0	0	0	0	0	1000161701	40,40,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	2	2.0	true	1	0	0	0	0	-0.602365	-0.602365
1090711170	3002	2	0	-0.5464	0	3.046464	0	-0.635	0	2.64	0	0	0	4	10000	0	0	0	0	0	0	1000161701	41,41,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	2.0	true	1	0	0	0	0	-0.58896	-0.58896
1090711171	3002	3	0	-0.53155	0	5.2310016	0	-0.625	0	4.32	0	0	0	7	10000	0	0	0	0	0	0	1000161701	42,42,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	2.0	true	1	0	0	0	0	-0.575345	-0.575345
1090711172	3002	4	0	-0.5167	0	7.0440192	0	-0.61	0	5.76	0	0	0	10	10000	0	0	0	0	0	0	1000161701	44,44,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	2.0	true	1	0	0	0	0	-0.559415	-0.559415
1090711173	3002	5	0	-0.50185	0	9.4068864	0	-0.6	0	7.68	0	0	0	13	10000	0	0	0	0	0	0	1000161701	45,45,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	2.0	true	1	0	0	0	0	-0.545675	-0.545675
1090711174	3002	6	0	-0.406	0	14.2589376	0	-0.52	0	11.52	0	0	0	16	10000	0	0	0	0	0	0	1000161702	54,82	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	2.0	true	1	0	0	0	0	-0.455075	-0.455075
1090711175	3002	7	0	-0.39115	0	16.5475008	0	-0.51	0	13.44	0	0	0	19	10000	0	0	0	0	0	0	1000161702	56,84	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	2.0	true	1	0	0	0	0	-0.44136	-0.44136
1090711176	3002	8	0	-0.3763	0	21.2212224	0	-0.5	0	17.04	0	0	0	22	10000	0	0	0	0	0	0	1000161702	57,86	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	2.0	true	1	0	0	0	0	-0.42639	-0.42639
1090711177	3002	9	0	-0.36145	0	52.7707008	0	-0.485	0	42.24	0	0	0	25	10000	0	0	0	0	0	0	1000161702	61,91	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	2.0	true	1	0	0	0	0	-0.39401	-0.39401
1090711178	3002	10	0	-0.3466	0	58.32864	0	-0.475	0	46.8	0	0	0	28	10000	0	0	0	0	0	0	1000161702	62,93	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.37847	-0.37847
1090711179	3002	11	0	-0.25075	0	73.1448576	0	-0.4	0	58.56	0	0	0	31	10000	0	0	0	0	0	0	1000161702	72,107	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.284875	-0.284875
1090711180	3002	12	0	-0.2359	0	172.8905472	0	-0.385	0	138.48	0	0	0	34	10000	0	0	0	0	0	0	1000161702	79,118	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	10	2.0	true	1	0	0	0	0	-0.214685	-0.214685
1090711181	3002	13	0	-0.22105	0	202.5378432	0	-0.375	0	162.24	0	0	0	37	10000	0	0	0	0	0	0	1000161702	81,122	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	12	2.0	true	1	0	0	0	0	-0.185835	-0.185835
1090711182	3002	14	0	-0.2062	0	235.4842368	0	-0.36	0	188.4	0	0	0	40	10000	0	0	0	0	0	0	1000161702	85,127	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	18	2.0	true	1	0	0	0	0	-0.15273	-0.15273
1090711183	3002	15	0	-0.19135	0	479.929536	0	-0.35	0	384	0	0	0	43	10000	0	0	0	0	0	0	1000161702	100,149	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	18	2.0	true	1	0	0	0	0	-0.004955	-0.004955
1090711184	3002	16	0	-0.0954999999999999	0	688.05504	0	-0.275	0	550.56	0	0	0	46	10000	0	0	0	0	0	0	1000161702	120,179	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LightningUpper_In	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	28	2.0	true	1	0	0	0	0	0.195725	0.195725
