ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
67335	5000	1	0	0.1043	0	3.90096	0	0	0	0	0	0	0	1	5000	200	0	0	0	0	0	1000113567	109,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind										0	0	0.0	0.0	0	0	2.0	true	0	0	0	0	0	0.0875	0.0875
67336	5000	2	0	0.134	0	7.2756	0	0	0	0	0	0	0	4	5000	200	0	0	0	0	0	1000113567	123,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.2325	0.2325
67337	5000	3	0	0.1637	0	13.34376	0	0	0	0	0	0	0	7	5000	200	0	0	0	0	0	1000113567	138,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.3775	0.3775
67338	5000	4	0	0.1934	0	17.08992	0	0	0	0	0	0	0	10	5000	200	0	0	0	0	0	1000113567	152,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.5225	0.5225
67339	5000	5	0	0.2231	0	24.27264	0	0	0	0	0	0	0	13	5000	200	0	0	0	0	0	1000113567	167,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.6675	0.6675
67340	5000	6	0	0.3608	0	50.31	0	0	0	0	0	0	0	16	5000	200	0	0	0	0	0	1000113568	181,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.8125	0.8125
67341	5000	7	0	0.3905	0	57.4308	0	0	0	0	0	0	0	19	5000	200	0	0	0	0	0	1000113568	196,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	0.9575	0.9575
67342	5000	8	0	0.4202	0	81.1152	0	0	0	0	0	0	0	22	5000	200	0	0	0	0	0	1000113568	210,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.1025	1.1025
67343	5000	9	0	0.4499	0	216.4104	0	0	0	0	0	0	0	25	5000	200	0	0	0	0	0	1000113568	225,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.2475	1.2475
67344	5000	10	0	0.4796	0	237.4632	0	0	0	0	0	0	0	28	5000	200	0	0	0	0	0	1000113568	239,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.3925	1.3925
67345	5000	11	0	1.10249	0	436.368816	0	0	0	0	0	0	0	31	5000	200	0	0	0	0	0	1000113568	254,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.5375	1.5375
67346	5000	12	0	1.1411	0	1216.858032	0	0	0	0	0	0	0	34	5000	200	0	0	0	0	0	1000113568	268,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2										0	0	0.0	0.0	1	0	2.0	true	0	0	0	0	0	1.6825	1.6825
