ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
68189	5000	1	0	-0.8619625	0	1	0	0	0	0	0	0	0	1	13000	200	0	0	0	0	0	1000113567	6,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	4	2.0	true	1	0	0	0	0	-0.937684	-0.937684
68190	5000	2	0	-0.85825	0	2	0	0	0	0	0	0	0	4	13000	200	0	0	0	0	0	1000113567	7,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.9326665	-0.9326665
68191	5000	3	0	-0.8545375	0	3	0	0	0	0	0	0	0	7	13000	200	0	0	0	0	0	1000113567	7,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	2.0	true	1	0	0	0	0	-0.9294445	-0.9294445
68192	5000	4	0	-0.850825	0	4	0	0	0	0	0	0	0	10	13000	200	0	0	0	0	0	1000113567	8,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	2.0	true	1	0	0	0	0	-0.923527	-0.923527
68193	5000	5	0	-0.8471125	0	5	0	0	0	0	0	0	0	13	13000	200	0	0	0	0	0	1000113567	8,7,6	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	2.0	true	1	0	0	0	0	-0.921205	-0.921205
68194	5000	6	0	-0.8299	0	10	0	0	0	0	0	0	0	16	13000	200	0	0	0	0	0	1000113568	9,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	2.0	true	1	0	0	0	0	-0.914716	-0.914716
68195	5000	7	0	-0.8261875	0	11	0	0	0	0	0	0	0	19	13000	200	0	0	0	0	0	1000113568	9,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	2.0	true	1	0	0	0	0	-0.910144	-0.910144
68196	5000	8	0	-0.822475	0	15	0	0	0	0	0	0	0	22	13000	200	0	0	0	0	0	1000113568	9,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	8	2.0	true	1	0	0	0	0	-0.905878	-0.905878
68197	5000	9	0	-0.8187625	0	39	0	0	0	0	0	0	0	25	13000	200	0	0	0	0	0	1000113568	10,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	2.0	true	1	0	0	0	0	-0.9010675	-0.9010675
68198	5000	10	0	-0.81505	0	43	0	0	0	0	0	0	0	28	13000	200	0	0	0	0	0	1000113568	11,7,25	0	0	0	0	0	0	0	0	0	0	0	0	Skill_SoulWind_Lv2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	2.0	true	1	0	0	0	0	-0.890209	-0.890209
