ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
100183	7001	1	0	0.03497	0	0.519830784	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	1000094570	93	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	1.0	true	1	0	0	0	0	-0.073	-0.073
100184	7001	2	0	0.0386	0	1.15245504	0	0	0	0	0	0	0	4	10000	0	0	0	0	0	0	1000094570	94	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.06486771	-0.06486771
100185	7001	3	0	0.04223	0	2.407895424	0	0	0	0	0	0	0	7	10000	0	0	0	0	0	0	1000094570	95	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.05217337	-0.05217337
100186	7001	4	0	0.04586	0	3.491693568	0	0	0	0	0	0	0	10	10000	0	0	0	0	0	0	1000094570	95	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.046	-0.046
100187	7001	5	0	0.04949	0	5.316005376	0	0	0	0	0	0	0	13	10000	0	0	0	0	0	0	1000094570	96	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.037	-0.037
100188	7001	6	0	0.06632	0	10.32305472	0	0	0	0	0	0	0	16	10000	0	0	0	0	0	0	1000094570	97	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.028	-0.028
100189	7001	7	0	0.06995	0	12.52988352	0	0	0	0	0	0	0	19	10000	0	0	0	0	0	0	1000094570	98	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.019	-0.019
100190	7001	8	0	0.07358	0	17.55654912	0	0	0	0	0	0	0	22	10000	0	0	0	0	0	0	1000094570	99	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.01	-0.01
100191	7001	9	0	0.07721	0	46.63764864	0	0	0	0	0	0	0	25	10000	0	0	0	0	0	0	1000094570	100	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	-0.001	-0.001
100192	7001	10	0	0.08084	0	53.30717568	0	0	0	0	0	0	0	28	10000	0	0	0	0	0	0	1000094570	101	0	0	0	0	0	0	0	0	0	0	0	0	Skill_HalfCutting	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	1.0	true	1	0	0	0	0	0.008	0.008
