ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
110628	7701	1	0		0		0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	1000143806	150	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	4	1.0	true	0	0	0	0	0	0.5	0.5
112700	7701	2	0		0		0	0	0	0	0	0	0	4	10000	0	0	0	0	0	0	1000143806	170	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	0	0	0	0	0	0.7	0.7
112701	7701	3	0		0		0	0	0	0	0	0	0	7	10000	0	0	0	0	0	0	1000143806	190	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	0	0	0	0	0	0.9	0.9
112702	7701	4	0		0		0	0	0	0	0	0	0	10	10000	0	0	0	0	0	0	1000143806	210	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	0	0	0	0	0	1.1	1.1
112703	7701	5	0		0		0	0	0	0	0	0	0	13	10000	0	0	0	0	0	0	1000143806	230	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	1.0	true	0	0	0	0	0	1.3	1.3
112704	7701	6	0		0		0	0	0	0	0	0	0	16	10000	0	0	0	0	0	0	1000143806	250	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	1.0	true	0	0	0	0	0	1.5	1.5
112705	7701	7	0		0		0	0	0	0	0	0	0	19	10000	0	0	0	0	0	0	1000143806	270	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	7	1.0	true	0	0	0	0	0	1.7	1.7
112706	7701	8	0		0		0	0	0	0	0	0	0	22	10000	0	0	0	0	0	0	1000143806	290	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	8	1.0	true	0	0	0	0	0	1.9	1.9
112707	7701	9	0		0		0	0	0	0	0	0	0	25	10000	0	0	0	0	0	0	1000143806	310	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	1.0	true	0	0	0	0	0	2.1	2.1
112708	7701	10	0		0		0	0	0	0	0	0	0	28	10000	0	0	0	0	0	0	1000143806	330	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	9	1.0	true	0	0	0	0	0	2.3	2.3
112709	7701	11	0		0		0	0	0	0	0	0	0	31	10000	0	0	0	0	0	0	1000143806	350	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	10	1.0	true	0	0	0	0	0	2.5	2.5
112710	7701	12	0		0		0	0	0	0	0	0	0	34	10000	0	0	0	0	0	0	1000143806	370	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	10	1.0	true	0	0	0	0	0	2.7	2.7
112711	7701	13	0		0		0	0	0	0	0	0	0	37	10000	0	0	0	0	0	0	1000143806	390	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	11	1.0	true	0	0	0	0	0	2.9	2.9
112712	7701	14	0		0		0	0	0	0	0	0	0	40	10000	0	0	0	0	0	0	1000143806	410	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	12	1.0	true	0	0	0	0	0	3.1	3.1
112713	7701	15	0		0		0	0	0	0	0	0	0	43	10000	0	0	0	0	0	0	1000143806	430	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	12	1.0	true	0	0	0	0	0	3.3	3.3
112714	7701	16	0		0		0	0	0	0	0	0	0	46	10000	0	0	0	0	0	0	1000143806	450	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	13	1.0	true	0	0	0	0	0	3.5	3.5
112715	7701	17	0		0		0	0	0	0	0	0	0	49	10000	0	0	0	0	0	0	1000143806	470	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	13	1.0	true	0	0	0	0	0	3.7	3.7
112716	7701	18	0		0		0	0	0	0	0	0	0	52	10000	0	0	0	0	0	0	1000143806	490	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	14	1.0	true	0	0	0	0	0	3.9	3.9
112717	7701	19	0		0		0	0	0	0	0	0	0	55	10000	0	0	0	0	0	0	1000143806	510	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	15	1.0	true	0	0	0	0	0	4.1	4.1
112718	7701	20	0		0		0	0	0	0	0	0	0	58	10000	0	0	0	0	0	0	1000143806	530	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	15	1.0	true	0	0	0	0	0	4.3	4.3
112719	7701	21	0		0		0	0	0	0	0	0	0	61	10000	0	0	0	0	0	0	1000143806	550	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	16	1.0	true	0	0	0	0	0	4.5	4.5
112720	7701	22	0		0		0	0	0	0	0	0	0	64	10000	0	0	0	0	0	0	1000143806	570	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	16	1.0	true	0	0	0	0	0	4.7	4.7
112721	7701	23	0		0		0	0	0	0	0	0	0	67	10000	0	0	0	0	0	0	1000143806	590	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	17	1.0	true	0	0	0	0	0	4.9	4.9
