ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
110648	7701	1	0	0.087288	0	2.452032	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	1000143806	109	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	2	1.0	true	1	0	0	0	0	0.087288	0.087288
112804	7701	2	0	0.10392	0	7.6626	0	0	0	0	0	0	0	4	10000	0	0	0	0	0	0	1000143806	110	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	1.0	true	1	0	0	0	0	0.10392	0.10392
112805	7701	3	0	0.120552	0	15.563592	0	0	0	0	0	0	0	7	10000	0	0	0	0	0	0	1000143806	112	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.120552	0.120552
112806	7701	4	0	0.137184	0	24.315984	0	0	0	0	0	0	0	10	10000	0	0	0	0	0	0	1000143806	114	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.137184	0.137184
112807	7701	5	0	0.153816	0	36.031248	0	0	0	0	0	0	0	13	10000	0	0	0	0	0	0	1000143806	115	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	1.0	true	1	0	0	0	0	0.153816	0.153816
112808	7701	6	0	0.241728	0	55.153692	0	0	0	0	0	0	0	16	10000	0	0	0	0	0	0	1000143806	124	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.241728	0.241728
112809	7701	7	0	0.25836	0	70.104276	0	0	0	0	0	0	0	19	10000	0	0	0	0	0	0	1000143806	126	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.25836	0.25836
112810	7701	8	0	0.274992	0	92.223648	0	0	0	0	0	0	0	22	10000	0	0	0	0	0	0	1000143806	127	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	1.0	true	1	0	0	0	0	0.274992	0.274992
112811	7701	9	0	0.291624	0	234.339336	0	0	0	0	0	0	0	25	10000	0	0	0	0	0	0	1000143806	129	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.291624	0.291624
112812	7701	10	0	0.308256	0	276.705	0	0	0	0	0	0	0	28	10000	0	0	0	0	0	0	1000143806	131	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.308256	0.308256
112813	7701	11	0	0.396168	0	343.693152	0	0	0	0	0	0	0	31	10000	0	0	0	0	0	0	1000143806	140	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.396168	0.396168
112814	7701	12	0	0.4128	0	714.971664	0	0	0	0	0	0	0	34	10000	0	0	0	0	0	0	1000143806	141	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	1.0	true	1	0	0	0	0	0.4128	0.4128
112815	7701	13	0	0.429432	0	842.681664	0	0	0	0	0	0	0	37	10000	0	0	0	0	0	0	1000143806	143	0	0	0	0	0	0	0	0	0	0	0	0	Skill_LowRealHook	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	6	1.0	true	1	0	0	0	0	0.429432	0.429432
