ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1073869953	2002	1	0		0		0	1;0.05;0	11000	0	0	0	0	1	7000	0	0	0	0	0	0	1000107283	113,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.1	true	0	0	0	0	0	0.125	0.125
1073869954	2002	2	0		0		0	1;0.05;0	11000	0	0	0	0	4	7000	0	0	0	0	0	0	1000107283	128,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	0.275	0.275
1073869955	2002	3	0		0		0	1;0.05;0	11000	0	0	0	0	7	7000	0	0	0	0	0	0	1000107283	143,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	0.425	0.425
1073869956	2002	4	0		0		0	1;0.05;0	11000	0	0	0	0	10	7000	0	0	0	0	0	0	1000107283	158,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	0.575	0.575
1073869957	2002	5	0		0		0	1;0.05;0	11000	0	0	0	0	13	7000	0	0	0	0	0	0	1000107283	173,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	0.725	0.725
1073869958	2002	6	0		0		0	1;0.05;0	11000	0	0	0	0	16	7000	0	0	0	0	0	0	1000107283	188,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	0.875	0.875
1073869959	2002	7	0		0		0	1;0.05;0	11000	0	0	0	0	19	7000	0	0	0	0	0	0	1000107283	203,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	1.025	1.025
1073869960	2002	8	0		0		0	1;0.05;0	11000	0	0	0	0	22	7000	0	0	0	0	0	0	1000107283	218,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	1.175	1.175
1073869961	2002	9	0		0		0	1;0.05;0	11000	0	0	0	0	25	7000	0	0	0	0	0	0	1000107283	233,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	1.325	1.325
1073869962	2002	10	0		0		0	1;0.05;0	11000	0	0	0	0	28	7000	0	0	0	0	0	0	1000107283	248,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.1	true	0	0	0	0	0	1.475	1.475
