ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1090647169	2002	1	0	-0.63971875	0	1.2625408	0	1;0.05;0	11000	0	0	0	0	1	7000	0	0	0	0	0	0	1000107283	36,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	2	0.1	true	1	0	0	0	0	-0.639171	-0.639171
1090647170	2002	2	0	-0.63145	0	1.582048	0	1;0.05;0	11000	0	0	0	0	4	7000	0	0	0	0	0	0	1000107283	37,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	2	0.1	true	1	0	0	0	0	-0.63076365	-0.63076365
1090647171	2002	3	0	-0.62318125	0	3.2161088	0	1;0.05;0	11000	0	0	0	0	7	7000	0	0	0	0	0	0	1000107283	38,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	0.1	true	1	0	0	0	0	-0.621786	-0.621786
1090647172	2002	4	0	-0.6149125	0	3.7634816	0	1;0.05;0	11000	0	0	0	0	10	7000	0	0	0	0	0	0	1000107283	39,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	0.1	true	1	0	0	0	0	-0.61327976	-0.61327976
1090647173	2002	5	0	-0.59664375	0	4.6848512	0	1;0.05;0	11000	0	0	0	0	13	7000	0	0	0	0	0	0	1000107283	41,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	3	0.1	true	1	0	0	0	0	-0.5946113	-0.5946113
1090647174	2002	6	0	-0.5393125	0	6.213664	0	1;0.05;0	11000	0	0	0	0	16	7000	0	0	0	0	0	0	1000107283	46,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	0.1	true	1	0	0	0	0	-0.53661674	-0.53661674
1090647175	2002	7	0	-0.53104375	0	7.328224	0	1;0.05;0	11000	0	0	0	0	19	7000	0	0	0	0	0	0	1000107283	47,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	0.1	true	1	0	0	0	0	-0.52786446	-0.52786446
1090647176	2002	8	0	-0.522775	0	8.866944	0	1;0.05;0	11000	0	0	0	0	22	7000	0	0	0	0	0	0	1000107283	48,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	4	0.1	true	1	0	0	0	0	-0.5189282	-0.5189282
1090647177	2002	9	0	-0.51450625	0	23.554368	0	1;0.05;0	11000	0	0	0	0	25	7000	0	0	0	0	0	0	1000107283	50,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	0.1	true	1	0	0	0	0	-0.5042874	-0.5042874
1090647178	2002	10	0	-0.4962375	0	26.922816	0	1;0.05;0	11000	0	0	0	0	28	7000	0	0	0	0	0	0	1000107283	52,5,5	301	0	0	0	0	0	0	0	0	0	0	0	Skill_FlameWorm	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	5	0.1	true	1	0	0	0	0	-0.48455733	-0.48455733
