ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
154629	12000	1	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	195	0	0											Skill_DoubleSlash										0	0	0.0	0.0	0	0	1.0	true	0		0		0	0.95	0.95
154630	12000	2	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	221	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	1.21	1.21
154631	12000	3	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	247	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	1.47	1.47
154632	12000	4	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	273	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	1.73	1.73
154633	12000	5	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	299	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	1.99	1.99
154634	12000	6	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	325	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	2.25	2.25
154635	12000	7	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	351	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	2.51	2.51
154636	12000	8	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	377	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	2.77	2.77
154637	12000	9	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	403	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	3.03	3.03
154638	12000	10	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	429	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	3.29	3.29
154639	12000	11	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	455	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	3.55	3.55
154640	12000	12	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	481	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	3.81	3.81
154641	12000	13	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	507	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	4.07	4.07
154642	12000	14	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	533	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	4.33	4.33
154643	12000	15	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	559	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	4.59	4.59
154644	12000	16	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	585	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	0		0		0	4.85	4.85
