ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
154758	12000	1	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	65	0	0											Skill_DoubleSlash										0	0	0.0	0.0	0	0	1.0	true	1		0		0	-0.35	-0.35
154759	12000	2	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	74	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	-0.26333332	-0.26333332
154760	12000	3	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	82	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	-0.17666666	-0.17666666
154761	12000	4	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	91	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	-0.09	-0.09
154762	12000	5	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	100	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	-0.0033333334	-0.0033333334
154763	12000	6	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	108	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.083333336	0.083333336
154764	12000	7	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	117	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.17	0.17
154765	12000	8	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	126	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.25666666	0.25666666
154766	12000	9	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	134	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.34333333	0.34333333
154767	12000	10	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	143	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.43	0.43
154768	12000	11	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	152	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.51666665	0.51666665
154769	12000	12	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	160	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.60333335	0.60333335
154770	12000	13	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	169	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.69	0.69
154771	12000	14	0		0		0		0		0		0	1	6000	0	0	0	0	0	0	1000163118	178	0	0											Skill_DoubleSlash										0	0	0.0	0.0	1	0	1.0	true	1		0		0	0.77666664	0.77666664
