ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1348897345	105001	1	0	5200;1	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{17},5200	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897409	105002	1	0	4000;1	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{18},4000	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897473	105003	1	0	315	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2140},315	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897537	105004	1	0	315	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2142},315	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897601	105005	1	0	270	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{1000002859},270	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897665	105006	1	0	4550;1	0	4550;1	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{1000028841},4550	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897729	105007	1	0	[44;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000023876}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897793	105008	1	0	[42;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000028844}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897857	105009	1	0	180	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2143},180	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897921	105010	1	0	225	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{1000023923},225	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348897985	105011	1	0	[41;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000028846}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898049	105012	1	0	[43;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000023878}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898113	105013	1	0	270	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{1000002860},270	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898177	105014	1	0	325;1	20000	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000030737	{1000030733},{1000028829},20,{17},325	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898241	105015	1	0	250;1	20000	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000030737	{1000030733},{1000028829},20,{18},250	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898305	105016	1	0	0.3	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030738	{1000030733},{1000028829},600,{5022},30%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898369	105017	1	0	0.3	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030738	{1000030733},{1000028829},600,{2150},30%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898433	105018	1	0	225	600000	225	600000	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{19},225	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898497	105019	1	0	0.15	300000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030739	{1000030733},{1000028829},300,{5031},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898561	105020	1	0	0.15	300000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030739	{1000030733},{1000028829},300,{5033},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898625	105021	1	0	800	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030738	{1000030733},{1000028829},600,{5023},800	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898689	105022	1	0	600	600000	600	600000	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030740	{1000030733},{1000028829},600,{20},600	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898753	105023	1	0	0.15	300000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030739	{1000030733},{1000028829},300,{5032},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898817	105024	1	0	0.15	300000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030739	{1000030733},{1000028829},300,{5034},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898881	105025	1	0	0.85	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030741	{1000030733},{1000028829},600,{1000028849},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348898945	105026	1	0	0.85	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030741	{1000030733},{1000028829},600,{1000028851},15%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899009	105027	1	0	0.1	180000	0.1	180000	0	0	0	0	0	0	0	180000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},180,{1000028853},10%	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899073	105028	1	0	7200;1	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{17},7200	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899137	105029	1	0	5800;1	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{18},5800	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899201	105030	1	0	455	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2140},455	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899265	105031	1	0	455	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2142},455	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899329	105032	1	0	390	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{1000002859},390	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899393	105033	1	0	6300;1	0	6300;1	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030734	{1000030733},{1000028829},{1000028841},6300	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899457	105034	1	0	[44;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000023876}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899521	105035	1	0	[42;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000028844}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899585	105036	1	0	[41;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000028846}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899649	105037	1	0	[43;][1:50]	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030736	{1000030733},{1000028829},{1000023878}	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899713	105038	1	0	260	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{2143},260	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1348899777	105039	1	0	325	600000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	1000030735	{1000030733},{1000028829},600,{1000023923},325	0	0											Drinking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
