ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
1344737345	40001	1	0	150	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	150	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737346	40001	2	0	200	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	200	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737347	40001	3	0	340	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	340	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737348	40001	4	0	340	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	340	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737349	40001	5	0	900	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	900	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737350	40001	6	0	900	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	900	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737351	40001	7	0	900	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	900	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737352	40001	8	0	1000	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	1000	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737353	40001	9	0	2000	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	2000	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737354	40001	10	0	3200	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	3200	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737473	40003	1	0	-1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	-1	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737474	40003	2	0	-1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	-1	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737475	40003	3	0	-1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	-1	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737476	40003	4	0	-1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	-1	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737477	40003	5	0	-1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000346	-1	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_HP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
1344737985	40011	1	0	120	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	1000000347	120	0	0	0	0	0	0	0	0	0	0	0	0	Drinking_MP	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
