ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
106255	400001	1	0	0.3	20000	0.3	20000		0		0		0	0	0	0	0	0	0	0	0	0		206	206	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
108357	400002	1	0	0.3	20000	0.3	20000	0.5	20000		0		0	0	0	0	0	0	0	0	0	0		206;11003;	206;11003;	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
108421	400003	1	0	1	0		7000		0		0		0	0	0	0	0	0	0	0	0	0		23381	23381	0	0	0	0	0	0	0	0	0	0	Stand	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
108755	400004	1	0	1	0		7000		0		0		0	0	0	0	0	0	0	0	0	0		23382	23382	0	0	0	0	0	0	0	0	0	0	Stand	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
108756	400005	1	0	1	0		7000		0		0		0	0	0	0	0	0	0	0	0	0		23383	23383	0	0	0	0	0	0	0	0	0	0	Stand	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
108757	400006	1	0	1	0		9000		0		0		0	0	0	0	0	0	0	0	0	0		23383	23383	0	0	0	0	0	0	0	0	0	0	Stand	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
109700	400007	1	0	1	0		15000		0		0		0	0	0	0	0	0	0	0	0	0		23384	23384	0	0	0	0	0	0	0	0	0	0	Stand	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0		0		0	0.0	0.0
109710	400021	1	0	1;0.1	10000	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0		2	0											Attack6_FireBust										0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
109711	400022	1	0	1;0.1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0											Attack1_Claw_Fire										0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
109712	400026	1	0	1;0.1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0	0	0	0	0	Attack2_Flame_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
