ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_SkillLevelIconID|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_HeroGetPoint|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_StateEffectOtherID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_PDamage|DOUBLE	_MDamage|DOUBLE
26119	270001	1	0	100	10	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
26120	270002	1	0	100	10	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
26121	270003	1	0	50	10	50	10	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
26122	270004	1	0	0.03	10	2	10	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27024	270005	1	0	0.03	10	3	10	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27025	270006	1	0	0.03	10	0	10	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27026	270007	1	0	0.03	10	1	10	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0		0	0	0.05	0	0	0	0	0	0	0	0	0	Skill_Lv1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27079	270008	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000039080	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27080	270009	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000039081	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27151	270010	1	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040493	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27177	270011	1	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040494	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27178	270012	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040495	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27179	270013	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040496	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27180	270014	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040497	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27261	270015	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040498	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
27262	270016	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000040499	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	true	0	0	0	0	0	0.0	0.0
