ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
4001	1000031864		1400	-1	-1	5	-1	-1	29	0	0	1	0	-1	333	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
4002	1000031865		1401	-1	-1	5	-1	-1	18	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	4050	0	0	2	0	0	0
4003	1000031866		4	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	2600	2600	8670	0	0	0	0	0	0
4004	1000031869		0	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4005	1000031868		1402	24	-1	5	-1	-1	10	0	2	4	0	-1	206	3	76	4	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
4006	1000032034		3	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4007	1000031870		5	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	9	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008	1000031871		1403	84	4	5	-1	-1	10	0	2	4	0	-1	0	0	0	0	0	1	70	3	71	3	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	90	0	0	true	138	3	61	4	0	0	0	0	0	0	2	0	0	0
4009	1000031872		2	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4010	1000032035		1	-1	-1	5	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	true	0	45	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
