ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
1001	1000002566	TwinShot	200	-1	-1	2	-1	-1	29	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1003	1000002568	MultiShot	201	-1	-1	2	-1	-1	28	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	27	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1008	1000002573	WillowSpinKick	204	-1	-1	2	-1	-1	18	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1009	1000002574	Owl'sInsight	338	61	-1	2	-1	-1	1	1	1	0	0	-1	404	0	0	1	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	1260	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	1000002531	Tumble	4	-1	-1	2	-1	-1	1	1	0	0	0	-1	345	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	2600	2600	2901	0	0	0	0	0	0
1016	1000002580	MoonSaultKick	2	-1	-1	2	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	1000002581	SpinKick	0	-1	-1	2	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1018	1000002582	SomersaultKick	1	-1	-1	2	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	45	0	0	true	0	0	0	0	0	3000	3000	28	0	0	0	0	0	0
1019	1000002583	LowSpinKick	3	-1	-1	2	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	1000002585	PinWheel	5	-1	-1	2	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	1000002587	UrgencyTrick	208	-1	-1	2	-1	-1	1	1	0	0	0	-1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	1980	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
