ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
6001	1000055963		1800	-1	-1	7	-1	-1	21	0	2	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	15	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6002	1000055964		1801	-1	-1	7	-1	-1	21	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6003	1000055965		1802	-1	-1	7	-1	-1	21	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	15	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6004	1000055966		1803	-1	-1	7	-1	-1	20	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	27	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6005	1000055967		1804	-1	-1	7	-1	-1	20	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	81	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6006	1000055968		1805	-1	-1	7	-1	-1	19	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	126	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6007	1000059343		1809	-1	-1	7	-1	-1	1	1	0	0	0	-1	0	0	0	0	76	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6008	1000057545		1888	111	-1	7	-1	-1	1	1	1	0	0	-1	0	0	0	0	281	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	441	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6009	1000140781		1944	248	-1	7	-1	-1	1	0	1	3	0	-1	0	0	0	0	0	0	307	4	58	2	0	14	0	10	0	0	0	0	1	0	0	0	0	true	0	6228	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6010	1000055971		1810	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6011	1000055972		1811	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6012	1000002531		1812	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6013	1000055973		1813	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6014	1000055974		1814	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	true	0	45	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6015	1000055975		1815	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	81	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6016	1000055976		1816	-1	-1	7	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	441	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6017	1000002544		1817	-1	-1	7	-1	-1	1	1	0	1	0	-1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	648	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6018	1000003236		1818	-1	-1	7	-1	-1	5	1	1	0	0	-1	58	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	2070	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6019	1000003237		1819	-1	-1	7	-1	-1	5	1	1	0	0	-1	59	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	2070	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6020	1000003238		1820	-1	-1	7	-1	-1	5	1	1	0	0	-1	13	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	1350	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0
