ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
3002	1000002639	LightningUpper	601	-1	-1	4	-1	-1	21	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3003	1000002640	Heal	602	69	-1	4	-1	-1	3	0	1	0	0	-1	16	0	0	0	0	0	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	522	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3015	1000002652	HalfTurnKick	0	-1	-1	4	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3016	1000002653	AxeKick	1	-1	-1	4	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	45	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3017	1000002654	StompingKick	3	-1	-1	4	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3018	1000002655	DiveKick	2	-1	-1	4	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3019	1000002656	ChargeVolt	608	-1	49	4	-1	-1	20	0	2	1	0	2	43	1	0	0	0	0	0	0	0	0	1	7	0	10	0	0	0	0	1	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3020	1000002657	SlidingStep	4	-1	-1	4	-1	-1	1	1	0	0	0	-1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	2600	2600	8354	0	0	0	0	0	0
3021	1000002658	Block	615	3	-1	4	14	-1	1	0	1	0	0	-1	30	0	0	1	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	27	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3022	1000002659	CounterBlow	5	-1	-1	4	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
