ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
5000	1000041765	Soul Wind	1600	-1	-1	6	-1	-1	29	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5001	1000041766	Sting Breeze	1601	-1	-1	6	-1	-1	29	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5002	1000041767	Fancy Turn	1602	-1	-1	6	-1	-1	29	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5003	1000043721	Despair Needle	1603	-1	-1	6	-1	-1	28	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	27	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5004	1000043720	Negative Ghost	1604	-1	-1	6	-1	-1	18	0	2	1	0	3	0	0	0	0	148	1	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	81	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5005	1000041770	Spirit Blow	1605	-1	-1	6	-1	-1	26	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	360	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5006	1000041771	Phantom Guard	1606	115	-1	6	-1	-1	1	0	1	0	0	-1	61	0	134	0	135	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	612	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5007	1000144514		180	247	-1	6	-1	-1	1	0	1	3	0	-1	87	2	89	2	88	2	90	2	2	2	0	11	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	29	2	0	0	0	0	0	0	0	0	0	0	0	0
5008	1000041773	Slight Turn	1608	-1	-1	6	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5009	1000041774	Soul Kiss	1609	-1	-1	6	-1	-1	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5010	1000041775	Turning Step	1610	-1	-1	6	-1	-1	1	1	0	1	0	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5011	1000041776	Return Spin	1611	-1	-1	6	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	true	0	108	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5012	1000041777	Ghost Kick	1612	-1	-1	6	-1	-1	1	1	0	1	0	3	0	0	0	0	179	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	true	0	36	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5013	1000041778	Slave Hand	1613	-1	-1	6	-1	-1	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	81	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
