ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
322000	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322001	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322002	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322003	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322004	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322005	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322006	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322007	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	2	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322008	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322009	1000023992		0	72	72	0	-1	-1	1	0	2	1	0	-1	44	1	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	2	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322010	0		0	-1	-1	0	-1	-1	1	0	2	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	2	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322011	0		0	-1	-1	0	-1	-1	1	0	2	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	2	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322012	0		0	-1	-1	0	-1	-1	1	0	2	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	322000	0	0	0	0	0	0	2	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322013	1000019058		0	94	94	0	-1	-1	1	0	1	1	1	-1	310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322027	0		0	-1	-1	0	-1	-1	1	1	1	0	1	-1	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322030	0		0	-1	-1	0	-1	-1	1	0	2	1	1	-1	69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322031	1000023875		0	48	48	0	-1	-1	1	0	2	1	0	-1	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322032	1015937		0	256	256	0	-1	-1	1	0	2	1	1	-1	141	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
322033	1000023880		0	46	46	0	-1	-1	1	0	2	1	0	-1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322034	1000163781		0	101	101	0	-1	-1	1	0	2	1	0	-1	402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322035	1015944		0	112	112	0	-1	-1	1	0	2	1	0	-1	25	1	76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
