ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
400001	0		0	64	-1	0	-1	-1	1	0	1	0	0	-1	76	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400002	0		0	10	-1	0	-1	-1	1	0	1	0	0	-1	76	0	25	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400003	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	16	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400004	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	16	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400005	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	16	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400006	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	16	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400007	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	16	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400021	0		0	-1	45	0	-1	-1	1	0	2	1	0	0	42	1	0	1	0	1	0	1	0	1	0	2	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400022	0		0	-1	45	0	-1	-1	1	0	2	1	0	0	42	1	0	1	0	1	0	1	0	1	0	2	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400026	0		0	-1	45	0	-1	-1	1	0	2	1	0	0	42	1	0	1	0	1	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400031	0		0	-1	45	0	-1	-1	5	0	2	1	0	0	42	1	0	1	0	1	0	1	0	1	0	2	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400032	0		0	-1	45	0	-1	-1	5	0	2	1	0	0	42	1	0	1	0	1	0	1	0	1	0	2	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400033	0		0	-1	-1	0	-1	-1	5	0	1	0	0	-1	2	0	4	0	36	1	37	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400051	0		0	-1	-1	0	-1	-1	1	0	1	0	0	-1	76	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400056	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400057	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400058	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400059	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400060	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400061	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400062	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400063	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400064	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400065	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400066	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400067	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400068	0		0	-1	-1	0	-1	-1	1	0	1	0	1	-1	28	0	1	0	61	0	306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	true	0	0	0	0	false	0	0	0	0	0	0	0	0	1	0	0	0	0	0
