ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
270001	1000037653	PetSkill1	823	110	-1	0	-1	-1	1	2	1	0	0	-1	1	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270002	1000037654	PetSkill2	823	110	-1	0	-1	-1	1	2	1	0	0	-1	28	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270003	1000037655	PetSkill3	823	110	-1	0	-1	-1	1	2	1	0	0	-1	1	0	28	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270004	1000037656	PetSkill4	823	110	-1	0	-1	-1	1	2	1	0	0	-1	34	0	182	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270005	1000038580	PetSkill5	823	110	-1	0	-1	-1	1	2	1	0	0	-1	35	0	182	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270006	1000038581	PetSkill6	823	110	-1	0	-1	-1	1	2	1	0	0	-1	32	0	182	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270007	1000038582	PetSkill7	823	110	-1	0	-1	-1	1	2	1	0	0	-1	33	0	182	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	14	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270008	1000039165	PetSkill8	823	110	-1	0	-1	-1	1	1	1	0	0	-1	200	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270009	1000039153	PetSkill9	823	110	-1	0	-1	-1	1	1	1	0	0	-1	202	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270010	1000040485		823	110	-1	0	-1	-1	1	1	1	0	0	-1	9	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
