ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
230122	0		0	-1	-1	0	-1	-1	5	1	1	0	0	-1	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230123	0		0	-1	-1	0	-1	-1	5	1	1	0	0	-1	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230124	0		0	-1	-1	0	-1	-1	5	1	1	0	0	-1	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230125	0		0	-1	-1	0	-1	-1	5	1	1	0	0	-1	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901000	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901001	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901002	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901003	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901004	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901005	0		0	-1	-1	0	-1	-1	15	1	1	0	0	-1	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0
