ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
280001	1000049220	TotalSkill01	1010	-1	-1	0	-1	-1	60	1	1	0	0	-1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280002	1000049221	TotalSkill02	1000	-1	-1	0	-1	-1	8	1	1	0	0	-1	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280003	1000049222	TotalSkill03	1012	-1	-1	0	-1	-1	60	1	1	0	0	-1	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280004	1000049223	TotalSkill04	1013	-1	-1	0	-1	-1	15	1	1	0	0	-1	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280005	1000049224	TotalSkill05	1001	-1	-1	0	-1	-1	30	1	1	0	0	-1	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280006	1000049225	TotalSkill06	1002	-1	-1	0	-1	-1	10	1	1	0	0	-1	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280007	1000049226	TotalSkill07	1014	-1	-1	0	-1	-1	6	1	1	0	0	-1	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280008	1000049227	TotalSkill08	1003	-1	-1	0	-1	-1	2	1	1	0	0	-1	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280009	1000049228	TotalSkill09	1015	-1	-1	0	-1	-1	15	1	1	0	0	-1	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280010	1000049229	TotalSkill10	1004	-1	-1	0	-1	-1	10	1	1	0	0	-1	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	-2146826265	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
