ROWID	_SkillTableID|INTEGER	_SubSkillTableID|INTEGER	_SkillConditionID|INTEGER	_SkillNeedJobID|INTEGER	_SkillTapID|INTEGER	_AwakenForceLevel|INTEGER	_TreeSlotIndex|INTEGER	_ParentSkillID1|INTEGER	_ParentSkillID2|INTEGER	_ParentSkillID3|INTEGER	_NeedParentSkillLevel1|INTEGER	_NeedParentSkillLevel2|INTEGER	_NeedParentSkillLevel3|INTEGER	_NeedBasicSP1|INTEGER	_NeedFirstSP1|INTEGER	_NeedSecondSP1|INTEGER	_AdviceSkillLevel1|INTEGER	_AdviceSkillLevel2|INTEGER	_AdviceSkillLevel3|INTEGER	_NeedSkillBook|BOOLEAN	_ServeSkill1|INTEGER	_ServeSkill2|INTEGER	_ChangeSkill|TEXT	_ContentsID|TEXT	_TreeSkill|TEXT
1	28	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	777		0
2	2	131	125	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
3	11	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
4	10	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
5	6	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
6	12	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
7	8	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
8	15	0	0	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
9	5	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
10	18	0	0	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			11
11	29	0	0	1	1	0	10	8	0	0	1	0	0	0	0	0	0	0	0	false	0	0			8
12	9	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
13	7	0	0	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0			0
