ROWID	_SkillID|INTEGER	_SkillVideoFile|TEXT	_SkillDescription|INTEGER	_ContentsID|TEXT
1	2	Warior_ImpactPunch.avi	0	0
2	5	Warior_RisingSlash.avi	0	0
3	6	Warior_ImpactWave.avi	0	0
4	7	Warior_CircleBreak.avi	0	0
5	8	Warior_SideKick.avi	0	0
6	9	Warior_SoccerKick.avi	0	0
7	10	Warior_ElbowDrop.avi	0	0
8	11	Warior_Tumble.avi	0	0
9	12	Warior_WakeupAttack.avi	0	0
10	15	Warior_DropKick.avi	0	0
11	17	Warior_Relieve.avi	0	0
12	18	Warior_Dash.avi	0	0
13	20	Warior_DashKick.avi	0	0
14	24	Warior_AerialEvasion.avi	0	0
15	28	Warior_HeavySlash.avi	0	0
16	29	Warior_SweepingKick.avi	0	0
17	30	Warior_PhysicalMastery.avi	0	0
18	31	Warior_MentalMastery.avi	0	0
19	32	Warior_MentalTraining.avi	0	0
20	33	Destroyer_BreakingPoint.avi	0	0
21	201	Swordmaster_DashSlash.avi	0	0
22	202	Swordmaster_Parrying.avi	0	0
23	203	Swordmaster_CycloneSlash.avi	1000061725	0
24	204	Swordmaster_DeepStraight.avi	0	0
25	205	Swordmaster_LineDrive.avi	1000061726	0
26	206	Swordmaster_TripleSlash.avi	0	0
27	207	Swordmaster_HackingStance.avi	1000061727	0
28	208	Swordmaster_MoonLightSplitter.avi	0	0
29	209	Swordmaster_CrecentCleave.avi	0	0
30	210	Swordmaster_Eclipse.avi	0	0
31	211	Swordmaster_HalfMoonSlash.avi	1000061728	0
32	212	Swordmaster_Hemorrahage.avi	0	0
33	213	Swordmaster_InfinityEdge.avi	0	0
34	214	Swordmaster_GreatWave.avi	0	0
35	215	Swordmaster_DashCombo.avi	0	0
36	216	Swordmaster_CounterSlash.avi	0	0
37	217	Swordmaster_CounterWave.avi	0	0
38	218	Swordmaster_CounterExile.avi	0	0
39	219	Swordmaster_ParryingStance.avi	0	0
40	220	Swordmaster_AerialCombo.avi	0	0
41	401	Mercenary_WhirlWind.avi	1000061729	0
42	402	Mercenary_BattleHowl.avi	0	0
43	403	Mercenary_CrisisHowl.avi	0	0
44	404	Mercenary_IronSkin.avi	0	0
45	405	Mercenary_FlyingSwing.avi	0	0
46	406	Mercenary_PunishingSwing.avi	0	0
47	407	Mercenary_CircleSwing.avi	1000062352	0
48	408	Mercenary_Stomp.avi	0	0
49	409	Mercenary_DemolitionFist.avi	0	0
50	410	Mercenary_Circlebomber.avi	1000062353	0
51	411	Mercenary_RollingAttack.avi	1000061730	0
52	412	Mercenary_TauntingHowl.avi	0	0
53	413	Mercenary_DisenchantingHowl.avi	0	0
54	414	Warior_HighLander.avi	0	0
55	415	Mercenary_WhirlTyphoon.avi	0	0
56	416	Mercenary_GiganticBomber.avi	0	0
57	417	Mercenary_DeverstatingHowl.avi	0	0
58	418	Mercenary_DashUpper.avi	0	0
59	419	Mercenary_SoccerKickCombo.avi	0	0
60	420	Mercenary_Toughness.avi	0	0
61	1001	Archer_TwinShot.avi	0	0
62	1003	Archer_MultiShot.avi	0	0
63	1008	Archer_WillowSpinKick.avi	0	0
64	1009	Archer_Owl'sInsight.avi	0	0
65	1013	Archer_Tumble.avi	0	0
66	1016	Archer_MoonSaultKick.avi	0	0
67	1017	Archer_SpinKick.avi	0	0
68	1018	Archer_SomersaultKick.avi	0	0
69	1019	Archer_LowSpinKick.avi	0	0
70	1021	Archer_PinWheel.avi	0	0
71	1023	Archer_UrgencyTrick.avi	0	0
72	1024	Archer_AerialEvasion.avi	0	0
73	1026	Archer_PiercingShot.avi	0	0
74	1027	Archer_MagicArrow.avi	0	0
75	1028	Archer_HighSpinKick.avi	0	0
76	1029	Archer_PhysicalMastery.avi	0	0
77	1030	Archer_MentalMastery.avi	0	0
78	1031	Archer_MentalTraining.avi	0	0
79	1032	Archer_Owl'sRage.avi	0	0
80	1201	Bowmaster_ChargeShot.avi	0	0
81	1202	Bowmaster_AerialChainShot.avi	1000061733	0
82	1203	Bowmaster_GuidedShot.avi	1000061734	0
83	1204	Bowmaster_PinpointShot.avi	0	0
84	1205	Bowmaster_FakeShot.avi	0	0
85	1206	Bowmaster_StunningShot.avi	0	0
86	1207	Bowmaster_ArrowShower.avi	1000061735	0
87	1208	Bowmaster_ExtensionArrow.avi	0	0
88	1209	Bowmaster_AerialStunt.avi	0	보마리메후
89	1210	Bowmaster_RapidShot.avi	1000061736	0
90	1211	Bowmaster_RevolutionaryBallista.avi	0	0
91	1212	Bowmaster_SpiritExcellation.avi	0	0
92	1213	Bowmaster_Sylph`sAid.avi	0	0
93	1215	Bowmaster_Bullseye.avi	0	0
94	1217	Bowmaster_TriangleShot.avi	0	0
95	1218	Bowmaster_LongBowMastery.avi	0	0
96	1219	Bowmaster_CrossBowMastery.avi	0	0
97	1220	Bowmaster_SiegeStance.avi	0	0
98	1221	Bowmaster_AnkleShot.avi	0	0
99	1401	Acrobat_CircleShot.avi	0	0
100	1402	Acrobat_BindingShot.avi	0	0
101	1403	Acrobat_BloomingKick.avi	1000061737	0
102	1404	Acrobat_SpiralKick.avi	0	0
103	1405	Acrobat_Kick&Shot.avi	0	0
104	1406	Acrobat_SpiralVortex.avi	1000061738	0
105	1407	Acrobat_CycloneKick.avi	1000061739	0
106	1408	Acrobat_AirWalk.avi	0	0
107	1409	Acrobat_Eagle`sDescent.avi	0	0
108	1410	Acrobat_TopSpinning.avi	0	0
109	1411	Acrobat_DoubleSomerSaultKick.avi	1000061740	0
110	1412	Acrobat_Spiritboost.avi	0	0
111	1413	Acrobat_AstralIllusion.avi	0	0
112	1414	Acrobat_SpiralEdge.avi	0	0
113	1415	Acrobat_CancelCircleShot.avi	0	0
114	1416	Acrobat_SpiritFiring.avi	0	0
115	1417	Acrobat_ChainTumble.avi	0	0
