ROWID	_UIType|INTEGER	_Value|TEXT
1	2	10000049
2	0	150
3	3	10000000
4	4	10010733
5	0	80
6	1	112
7	3	10000215
8	0	80
9	3	10000257
10	4	10010734
11	0	80
12	3	10000001
13	4	10010451
14	0	80
15	3	10000258
16	4	10010607
17	0	80
18	3	10000119
19	4	10010735
20	0	50
21	3	10000120
22	4	1000083246
23	0	50
24	3	10000121
25	4	1000083245;1000083244
26	4	10010718;10010736
27	4	10010704;10010737
28	4	10010738
29	0	50
30	3	10000122
31	4	1000083248
32	0	50
33	3	10000123
34	4	10010739;10010374
35	4	10010740;10010741
36	0	50
37	3	10000231
38	4	10010415
39	0	50
40	3	10000142
41	4	10010742;10010743
42	4	10010744
43	0	80
44	3	10000124
45	4	10010607
46	0	50
47	3	10000125
48	4	10010358;10010354
49	4	1000083251;10010757
50	4	10010765;10010721
51	0	50
52	3	10000126
53	4	10010719;10010730
54	4	10010745;10010746
55	4	10010747;1000083290
56	4	10010748;10010749
57	4	10010750;10010751
58	4	10010752;1000083258
59	4	10010753;10010754
60	4	10010755;10010756
61	4	10010758;10010759
62	4	10010760;10010761
63	4	10010762;10010763
64	4	10010764;10010766
65	4	10010767;10010768
66	0	80
67	3	10000131
68	4	10010621
69	0	50
70	3	10000132
71	4	10010383
72	0	50
73	3	10000133
74	4	10010388;10010622
75	4	10010725;1000083266
76	4	1000083267;10010769
77	4	10010770;10010390
78	4	10010771
79	0	50
80	3	10000172
81	4	10010393
82	0	50
83	3	10000173
84	4	10010392;10010772
85	4	10010773;1000083270
86	0	50
87	3	10000134
88	4	10010394
89	0	50
90	3	10000135
91	4	10010403
92	0	50
93	3	10000136
94	4	10010774;10010775
95	4	10010399;10010776
96	4	10010777
97	0	50
98	3	10000137
99	4	10010404
100	0	50
101	3	10000138
102	4	10010778
103	0	50
104	3	10000139
105	4	10010382
106	0	50
107	3	10000140
108	4	10010627;10010779
109	4	10010780;10010632
110	4	1000083280;1000083281
111	4	10010728
112	0	80
113	3	10000263
114	4	10010429
115	0	50
116	3	10000149
117	4	10010433
118	0	50
119	3	10000150
120	4	10010781;10010729
121	4	10010782;10010783
122	4	10010784
123	0	50
124	3	10000259
125	4	10010440
126	0	50
127	3	10000260
128	4	10010443;1000083288
129	4	10010785
130	0	50
131	3	10000151
132	4	10010442
133	0	50
134	3	10000152
135	4	10010430;10010640
136	4	10010786;10010438
137	0	80
138	3	10000230
139	4	10010787
140	0	50
141	3	10000154
142	4	1000083293;10010788
143	0	50
144	3	10000194
145	4	10010453
146	0	50
147	3	10000155
148	4	10010789;10010790
149	4	10010643;1000083296
150	4	10010791
151	0	80
152	3	10000234
153	4	10010648
154	0	50
155	3	10000157
156	4	10010462
157	0	50
158	3	10000158
159	4	1000083307;1000083303
160	4	10010792;10010793
161	4	10010794;10010795
162	0	50
163	3	10000261
164	4	10010796
165	0	50
166	3	10000262
167	4	10010797;10010798
168	4	10010799
169	4	10010800;10010801
170	4	10010802;10010803
171	4	10010804
172	0	80
173	3	10000191
174	0	50
175	4	10010666
176	0	50
177	4	10010489;10010490
178	4	10010491;10010492
179	4	10010493;1000083294
180	4	10010495;10010496
181	4	10010497;10010498
182	4	10010499;10010500
183	4	10010501;10010502
184	4	10010503;10010504
185	4	10010505;10010506
186	4	10010507;10010508
187	4	10010509;10010510
188	4	10010511;10010512
189	4	10010513;10010372
190	4	10010330;10010338
191	4	10010336;10010340
192	4	10010369;10010370
193	4	10010411;10010413
194	4	10010408;10010380
195	4	10010397;10010425
196	4	10010435;10010437
197	4	10010452
198	0	50
199	3	10000136
200	4	10010517
201	0	50
202	3	10000174
203	4	10010518;10010519
204	4	10010520;10010521
205	4	10010522;10010523
206	4	10010524;10010525
207	4	10010526;10010527
208	4	10010528;10010529
209	4	10010530
210	0	50
211	3	10000175
212	4	10010531;10010532
213	4	10010533;10010534
214	4	10010521;10010536
215	4	10010537;10010538
216	4	10010539;10010540
217	4	10010541;10010542
218	4	10010543;10010544
219	0	50
220	3	10000176
221	4	10010545;10010546
222	4	10010547;10010548
223	4	10010549;10010550
224	4	10010551;10010552
225	4	10010553;10010554
226	4	10010555;10010556
227	4	10010557
228	0	80
229	3	10000177
230	0	50
231	4	10010558;10010559
232	4	10010560;10010561
233	4	10010562;10010563
234	4	10010564;10010565
235	4	10010566;10010567
236	4	10010568;10010569
237	4	10010570;10010571
238	4	10010572;10010573
239	4	10010574;10010575
240	4	10010576;10010577
241	4	10010620;10010367
242	4	10010668;10010669
243	4	10010670;10010671
244	4	10010672;10010673
245	4	10200111;10200112
246	4	10200113;10200114
247	4	10010673;10200116
248	4	10200117;10200118
249	0	50
