ROWID	_LvlMin|INTEGER	_LvlMax|INTEGER	_AbyssLvlMin|INTEGER	_AbyssLvlMax|INTEGER	_AbyssQuestID|INTEGER	_PartyOneNumMin|INTEGER	_PartyOneNumMax|INTEGER	_MaxUsableCoin|INTEGER	_CanEasyLevel|INTEGER	_CanNormalLevel|INTEGER	_CanHardLevel|INTEGER	_CanVeryHardLevel|INTEGER	_CanNightmareLevel|INTEGER	_HardOpenRank|INTEGER	_VeryHardOpenRank|INTEGER	_RecommendEasyLevel|INTEGER	_RecommendNormalLevel|INTEGER	_RecommendHardLevel|INTEGER	_RecommendVeryHardLevel|INTEGER	_RecommendNightmareLevel|INTEGER	_RecommendEasyPartyCount|INTEGER	_RecommendNormalPartyCount|INTEGER	_RecommendHardPartyCount|INTEGER	_RecommendVeryHardPartyCount|INTEGER	_RecommendNightmarePartyCount|INTEGER	_NeedItemID|INTEGER	_NeedItemCount|INTEGER	_JewelIndex1|INTEGER	_JewelIndex2|INTEGER	_JewelIndex3|INTEGER	_JewelIndex4|INTEGER	_JewelIndex5|INTEGER	_JewelIndex6|INTEGER	_JewelIndex7|INTEGER	_JewelIndex8|INTEGER	_JewelIndex9|INTEGER	_JewelIndex10|INTEGER	_Vehicle|BOOLEAN	_NeedMission|INTEGER	_ShareCountMap|INTEGER	_ListSort|INTEGER	_StageOutDurability|BOOLEAN	_StageDieDurability|BOOLEAN	_Weight_Easy|INTEGER	_Weight_Normal|INTEGER	_Weight_Hard|INTEGER	_Weight_VeryHard|INTEGER	_Weight_Nightmare|INTEGER	_HellMapID|INTEGER	_SlayerMapID|INTEGER	_NeedIgnoreItemID|INTEGER	_NeedIgnoreItemCount|INTEGER	_ClearMissionID|INTEGER	_Emergenceprobability|INTEGER	_EmergenceCount|INTEGER	_MaxSpecialCoin|INTEGER	_NestLevelUi|BOOLEAN	_CanChaosLevel|INTEGER	_CanHellLevel|INTEGER	_ChaosOpenRank|INTEGER	_HellOpenRank|INTEGER	_RecommendChaosLevel|INTEGER	_RecommendHellLevel|INTEGER	_RecommendChaosPartyCount|INTEGER	_RecommendHellPartyCount|INTEGER	_Weight_Chaos|INTEGER	_Weight_Hell|INTEGER	_Mercenary|BOOLEAN	_UseCoin|BOOLEAN	_StageGradeToolTip|INTEGER	_HeroExp_Easy|INTEGER	_HeroExp_Normal|INTEGER	_HeroExp_Hard|INTEGER	_HeroExp_VeryHard|INTEGER	_HeroExp_Nightmare|INTEGER	_HeroExp_Chaos|INTEGER	_HeroExp_Hell|INTEGER	_DPSLogSave|BOOLEAN	_EnterType|INTEGER	_EnteredNumMark|BOOLEAN	_PartyRebirth|BOOLEAN	_Max_Fatigue|BOOLEAN	_PartyNeedIgnoreItemID|INTEGER	_PartyNeedIgnoreItemOnly|BOOLEAN	_FTGBoostType|INTEGER	_NewBalanceFlag|INTEGER	_LevelWeightlimit|INTEGER	_PlayerCountWeightlimit|INTEGER	_ExDifficultyLvlMin|INTEGER	_ExDifficultyLvlMax|INTEGER	_ExDifficultyTypeMin|INTEGER	_ExDifficultyTypeMax|INTEGER	_PlayerCountWeightIcon|INTEGER	_DifficultyGuideEffectIcon|INTEGER	_ExDifficultyGuideEffectIcon|INTEGER	_ExDifficultyStatusPenaltytIcon|INTEGER	_EnterFatigueFlag|BOOLEAN	_LabyrinthEnterID|INTEGER
1	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	1	0	2	2	3	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11001	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	2	2	4	4	0	0	true	true	1001915	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
2	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	3	0	4	4	3	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11002	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	4	4	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
3	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	5	0	6	6	5	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11003	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	6	6	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
4	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	5	0	6	6	5	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11004	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	6	6	4	4	0	0	true	true	1001916	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
5	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	8	0	9	9	8	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11005	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	9	9	4	4	0	0	true	true	1001923	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
7	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	1	0	2	2	1	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11006	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	2	2	4	4	0	0	true	true	1001915	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
8	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	3	0	4	4	3	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11007	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	4	4	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
9	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	5	0	6	6	5	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11008	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	6	6	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
10	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	5	0	6	6	5	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11009	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	6	6	4	4	0	0	true	true	1001916	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
11	1	-1	1	-1	-1	-1	4	-1	1	0	1	1	1	5	5	8	0	9	9	8	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11010	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	9	9	4	4	0	0	true	true	1001923	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
