ROWID	_Title|INTEGER	_GateEnterImage|TEXT	_MapIndex1|INTEGER	_Map1_StartGate|INTEGER	_MapIndex2|INTEGER	_Map2_StartGate|INTEGER	_MapIndex3|INTEGER	_Map3_StartGate|INTEGER	_MapIndex4|INTEGER	_Map4_StartGate|INTEGER	_MapIndex5|INTEGER	_Map5_StartGate|INTEGER	_StageSetType|INTEGER	_Slayer_MapIndex1|INTEGER	_Slayer_Map1_StartGate1|INTEGER
20001	1000003192	Potal1-1A.dds	51	1	66	1	0	1	0	1	0	1	0	0	1
20002	1000003193	Potal2-1A.dds	56	1	71	1	142	1	0	1	0	1	0	0	1
20003	1000003194	Potal3-1A.dds	61	1	147	1	0	1	0	1	0	1	0	0	1
20004	1000003195	Potal7-1A.dds	81	1	96	1	0	1	0	1	0	1	0	0	1
20005	1000003196	Potal8-1A.dds	86	1	101	1	106	1	152	1	0	1	0	0	1
20006	1000003197	Potal9-1A.dds	91	1	161	1	0	1	0	1	0	1	0	0	1
20007	1000003198	Potal13-1A.dds	112	1	136	1	0	1	0	1	0	1	0	0	1
20008	1000003199	Potal14-1A.dds	117	1	172	1	0	1	0	1	0	1	0	0	1
20009	1000003200	Potal15-1A.dds	121	1	252	1	0	1	0	1	0	1	0	0	1
20010	1000003201	Potal16-1A.dds	126	1	262	1	0	1	0	1	0	1	0	0	1
20011	1000003202	Potal17-1A.dds	132	1	242	1	0	1	0	1	0	1	0	0	1
20012	9792	PotalSH_MantiNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
20013	1000003522	Potal21-1A.dds	272	1	291	1	381	1	422	1	441	1	0	0	1
20014	1000003523	Potal25-1A.dds	312	1	352	1	411	1	451	1	0	1	0	0	1
20015	1000003524	Potal22-1A.dds	301	1	331	1	461	1	391	1	0	1	0	0	1
20016	1000003525	Potal24-1A.dds	281	1	431	1	361	1	402	1	0	1	0	0	1
20017	1000003526	Potal23-1A.dds	322	1	342	1	0	1	471	1	0	1	0	0	1
20018	9794	PotalSH_BossStage1.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
20019	10120	PotalSH_ApocalypseNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
20021	1000022765	Potal52-1A.dds	521	1	551	1	561	1	0	1	0	1	0	0	1
20022	1000022766	Potal51-1A.dds	511	1	541	1	671	1	681	1	0	1	0	0	1
20023	1000042664	Potal59-1A.dds	591	1	601	1	611	1	631	1	621	1	0	0	1
20024	1000022768	Potal23-1A.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
20025	1000037050	Potal58-1A.dds	571	1	581	1	641	1	651	1	661	1	0	0	1
20026	1000047084	Potal_Treasure.dds	901	1	912	1	922	1	0	1	0	1	0	0	1
20027	1006588	Potal60Lv_AbyssHell1.dds	691	1	700	1	710	1	721	1	0	1	0	0	1
20028	1000053425	Potal60Lv_AbyssHell2.dds	731	1	741	1	751	1	811	1	0	1	0	0	1
20031	1000057767	Potal70Lv_Desert.dds	761	1	771	1	0	1	0	1	0	1	0	0	1
20032	1000057768	Potal70Lv_ElfForest.dds	781	1	791	1	801	1	0	1	0	1	0	0	1
20033	1000066894	Potal70Lv_AbyssHell.dds	871	1	881	1	891	1	0	1	0	1	0	0	1
20041	1000075267	Potal80Lv_Volcano.dds	1001	1	1011	1	1021	1	1031	1	0	1	0	0	1
20042	1000075268	Potal80Lv_LavaRiver.dds	1041	1	1051	1	1061	1	1071	1	0	1	0	0	1
20043	1000085415	Potal80Lv_ShadowForest.dds	1078	1	1079	1	1080	1	0	1	0	1	0	0	1
20051	1000106442	Potal93Lv_Set_1.dds	1102	1	1101	1	1103	1	0	1	0	1	0	0	1
20061	1000117960	Potal95Lv_Set_1.dds	1121	1	1122	1	1123	1	1124	1	1125	1	0	0	1
20062	10408	PortalKR_ForestDragon.dds	14761	1	14763	1	14765	1	14765	1	0	1	2	0	1
20063	1000137391	Potal95Lv_Set_2.dds	1126	1	1127	1	0	1	0	1	0	1	0	0	1
25001	1000003192	Potal1-1A.dds	13503	1	0	1	0	1	0	1	0	1	0	0	1
25002	1000003200	Potal15-1A.dds	13506	1	0	1	0	1	0	1	0	1	0	0	1
25003	10117	PotalCG_MinoNest.dds	0	1	14084	1	0	1	0	1	0	1	2	0	1
25004	10134	PotalSH_SeaDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
25005	10121	PotalSH_ApocalypseNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
30001	1000077306	Potal_IngameWorld02.dds	0	1	0	1	0	1	0	1	0	1	1	0	1
30002	1000047084	Potal_Treasure.dds	901	1	912	1	922	1	0	1	0	1	0	0	1
30003	1000077305	Potal_IngameWorld02.dds	0	1	0	1	0	1	0	1	0	1	1	0	1
30004	1000077306	Potal_IngameWorld02.dds	0	1	0	1	0	1	0	1	0	1	1	0	1
30005	1000047084	Potal_Treasure.dds	901	1	912	1	922	1	0	1	0	1	0	0	1
30006	1000077305	Potal_IngameWorld02.dds	0	1	0	1	13659	1	13669	1	13658	1	1	0	1
30007	1000104191	Potal_IngameWorld02.dds	13668	1	0	1	0	1	0	1	0	1	1	0	1
30101	10153	Potal_FellowShip_60Lv.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30102	1000073126	Potal_AllstarBattle.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30103	8928	Potal_FellowShip_60Lv.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
30104	1000089892	Potal_16raid_InviDragon.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30105	1000111784	PotalEvent_HeroContest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
30106	1000118906	Potal_SY_TicketMap_95Lv.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30107	1000129762	Potal21-1A.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30108	1000129762	Potal22-1A.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30109	1000129762	Potal52-1A.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30110	1000129762	Potal70Lv_ElfForest.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30111	1000129762	Potal90Lv_Set_2.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30112	1000129762	Potal93Lv_Set_1.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30113	1000159799	Potal70Lv_ElfForest.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
30114	1000159800	Potal90Lv_Set_2.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
30115	1000159801	Potal93Lv_Set_1.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35001	1000037035	Potal_SH_Nest_Normal.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35002	1000029406	Potal_SH_Nest_Hell.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35003	1000029407	Potal_LM_Nest_Normal.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35004	1000029408	Potal_LM_Nest_Hell.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35005	10279	Potal_DragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35006	1000032407	Potal_ChaosField_All.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
35101	10117	PotalCG_MinoNest.dds	0	1	14084	1	0	1	0	1	0	1	2	0	1
35102	9794	PotalSH_BossStage1.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35103	9792	PotalSH_MantiNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35104	10120	PotalSH_ApocalypseNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35105	10121	PotalLM_BishopNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35106	10134	PotalSH_SeaDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35107	10046	PotalLM_G_DragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35108	10062	PotalLM_GigantesNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35109	10078	PotalLM_TyphoonKimNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35100	10076	PotalLM_ProfessorK.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35111	1000051499	Potal_NestRenewal_60Lv.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35112	10151	PotalTN_DesertDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35113	1000052843	PotalTN_DesertDragonNest_Memoria.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35114	10125	PotalAA_GuardianNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35115	10126	PotalAA_MistNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35116	10214	PotalAA_BlackDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35117	10212	PotalAA_NestHell.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35118	1000068411	PotalAA_BlackDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35119	10348	PotalAA_VolcanoNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
35120	10287	PotalAA_DaidalosNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45001	1000032407	Potal_Chaos_Field_BossA.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
45002	1000032407	Potal_Chaos_Field_32Lv.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
45003	1000032407	Potal_Chaos_Field_24Lv.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
45004	10235	PotalSH_BossStage1.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45005	10253	Potal_Hell_AA_VolcanoNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45006	1000085188	Potal_Chaos_Field_BossA.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
45007	10263	PotalAA_RedDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45008	1000085186	PotalAA_RedDragonNest_Memoria.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45009	10303	PotalMC_IceDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45010	10303	PotalMC_IceDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45011	10307	PotalMC_IceDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
45012	10344	PotalRD_RuneDragon.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
46001	10348	PotalAA_VolcanoNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
46002	1000092106	PotalLM_BishopNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
46003	1000099946	PotalTN_DesertDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
46004	1000105956	PotalLM_TyphoonKimNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
46005	1000108915	PotalLM_BishopNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47001	10281	PotalSH_MantiNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47002	10280	PotalLM_BishopNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47003	10313	PotalLM_TyphoonKimNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47004	10329	PotalLM_ProfessorK.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47005	10335	PotalRD_GranomNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47006	10338	PotalSH_SeaDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47007	1000118621	PotalAA_VolcanoNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47008	10350	PotalSH_SeaDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47009	1000119437	PotalAA_GuardianNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47010	1000121559	PotalAA_MistNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47011	10364	PotalLM_G_DragonNest.dds	14891	1	0	1	0	1	0	1	0	1	2	0	1
47012	10367	PotalKR_KaironNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47013	10365	PotalSH_BossStage1.dds	14900	1	0	1	0	1	0	1	0	1	2	0	1
47050	10368	PotalR_LimboNest.dds	19001	1	19003	1	19005	1	19007	1	0	1	2	0	1
47051	1000126672	PotalR_Slayer.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
